Date,Power,Wind speed at 100m (m/s)
1/1/2009 0:00,0,1.072
1/1/2009 1:00,0,1.083
1/1/2009 2:00,0,1.228
1/1/2009 3:00,0,1.1795
1/1/2009 4:00,0,1.259
1/1/2009 5:00,0,1.073
1/1/2009 6:00,0,1.43
1/1/2009 7:00,0,1.46
1/1/2009 8:00,0,1.74975
1/1/2009 9:00,0,1.735
1/1/2009 10:00,0,1.99825
1/1/2009 11:00,0,1.748
1/1/2009 12:00,0,0.938
1/1/2009 13:00,0,0.98225
1/1/2009 14:00,0,1.5315
1/1/2009 15:00,0.012,2.249
1/1/2009 16:00,0.05175,2.73075
1/1/2009 17:00,0.3775,3.54225
1/1/2009 18:00,0.19225,3.2605
1/1/2009 19:00,0.07025,2.92175
1/1/2009 20:00,0.1595,3.14925
1/1/2009 21:00,0.96375,4.23925
1/1/2009 22:00,1.22,4.49325
1/1/2009 23:00,1.54725,4.73675
1/2/2009 0:00,1.808,4.91925
1/2/2009 1:00,1.19325,4.46975
1/2/2009 2:00,0.82075,4.0715
1/2/2009 3:00,0.10025,3.03325
1/2/2009 4:00,0.351,3.5145
1/2/2009 5:00,0.9445,4.26225
1/2/2009 6:00,1.83725,4.9725
1/2/2009 7:00,4.98425,6.725
1/2/2009 8:00,6.01875,7.154
1/2/2009 9:00,8.03675,7.89525
1/2/2009 10:00,7.52675,7.74075
1/2/2009 11:00,5.67625,7.03375
1/2/2009 12:00,5.775,7.04325
1/2/2009 13:00,5.23675,6.81125
1/2/2009 14:00,9.1945,8.32725
1/2/2009 15:00,9.48875,8.4365
1/2/2009 16:00,10.58375,8.85325
1/2/2009 17:00,14.29025,10.359
1/2/2009 18:00,15.1865,11.0715
1/2/2009 19:00,7.38675,7.6785
1/2/2009 20:00,10.29125,8.68475
1/2/2009 21:00,5.90025,7.07375
1/2/2009 22:00,4.35175,6.226
1/2/2009 23:00,4.68675,6.58075
1/3/2009 0:00,6.45325,7.26075
1/3/2009 1:00,9.957,8.52775
1/3/2009 2:00,15.96475,13.301
1/3/2009 3:00,15.999,12.84575
1/3/2009 4:00,14.17725,10.21675
1/3/2009 5:00,4.9685,6.6775
1/3/2009 6:00,6.3675,7.22525
1/3/2009 7:00,15.727,11.74825
1/3/2009 8:00,16,14.53525
1/3/2009 9:00,15.86225,12.08625
1/3/2009 10:00,15.7265,11.84625
1/3/2009 11:00,14.516,10.43275
1/3/2009 12:00,14.22,10.26975
1/3/2009 13:00,13.76975,10.0455
1/3/2009 14:00,13.1455,9.74475
1/3/2009 15:00,10.22325,8.64925
1/3/2009 16:00,7.9,7.835
1/3/2009 17:00,13.8475,10.08975
1/3/2009 18:00,8.2895,7.93425
1/3/2009 19:00,15.41175,11.2775
1/3/2009 20:00,12.08075,9.34775
1/3/2009 21:00,10.38275,8.727
1/3/2009 22:00,5.92275,7.089
1/3/2009 23:00,4.63625,6.54575
1/4/2009 0:00,3.91825,6.21975
1/4/2009 1:00,5.97525,7.0885
1/4/2009 2:00,11.38075,8.99875
1/4/2009 3:00,12.801,9.56075
1/4/2009 4:00,11.10025,8.882
1/4/2009 5:00,10.80925,8.778
1/4/2009 6:00,10.704,8.74
1/4/2009 7:00,9.45375,8.30725
1/4/2009 8:00,6.95,7.414
1/4/2009 9:00,3.461,5.907
1/4/2009 10:00,0.3635,3.4215
1/4/2009 11:00,0.40425,3.5265
1/4/2009 12:00,0.15075,3.04425
1/4/2009 13:00,0.1015,2.948
1/4/2009 14:00,0.04775,2.66975
1/4/2009 15:00,0.015,2.18775
1/4/2009 16:00,0,1.52475
1/4/2009 17:00,0,0.822
1/4/2009 18:00,0,0.6885
1/4/2009 19:00,0,0.41775
1/4/2009 20:00,0,0.30775
1/4/2009 21:00,0,1.48875
1/4/2009 22:00,0,1.5965
1/4/2009 23:00,0.0015,1.918
1/5/2009 0:00,0.06225,2.8475
1/5/2009 1:00,0.15075,3.22525
1/5/2009 2:00,0.449,3.635
1/5/2009 3:00,0.95175,4.26125
1/5/2009 4:00,1.62175,4.7965
1/5/2009 5:00,1.80575,4.94125
1/5/2009 6:00,1.95525,5.0605
1/5/2009 7:00,2.7055,5.53025
1/5/2009 8:00,3.9445,6.21325
1/5/2009 9:00,2.596,5.4325
1/5/2009 10:00,1.623,4.7885
1/5/2009 11:00,1.66325,4.82
1/5/2009 12:00,1.77475,4.90375
1/5/2009 13:00,1.9795,5.04575
1/5/2009 14:00,0.6345,3.847
1/5/2009 15:00,0.048,2.6675
1/5/2009 16:00,0.026,2.402
1/5/2009 17:00,0,2.03125
1/5/2009 18:00,0.02225,2.35925
1/5/2009 19:00,0.00875,2.19825
1/5/2009 20:00,0.083,3.01
1/5/2009 21:00,0.0705,2.94775
1/5/2009 22:00,0.05825,2.7935
1/5/2009 23:00,0.085,3.09775
1/6/2009 0:00,0.1385,3.20225
1/6/2009 1:00,0.13375,3.19625
1/6/2009 2:00,0.3365,3.4725
1/6/2009 3:00,0.30625,3.43175
1/6/2009 4:00,0.061,2.82175
1/6/2009 5:00,0.0385,2.5605
1/6/2009 6:00,0.03475,2.514
1/6/2009 7:00,0.04275,2.6135
1/6/2009 8:00,0.05825,2.798
1/6/2009 9:00,0.0945,2.817
1/6/2009 10:00,0,1.244
1/6/2009 11:00,0,0.9425
1/6/2009 12:00,0,1.09875
1/6/2009 13:00,0,0.87075
1/6/2009 14:00,0,0.65875
1/6/2009 15:00,0,0.76875
1/6/2009 16:00,0,1.5115
1/6/2009 17:00,0.2055,3.30875
1/6/2009 18:00,1.0185,4.33625
1/6/2009 19:00,3.29775,5.88725
1/6/2009 20:00,1.566,4.76725
1/6/2009 21:00,1.66,4.841
1/6/2009 22:00,0.3855,3.55875
1/6/2009 23:00,0.27775,3.40825
1/7/2009 0:00,0.84725,4.16275
1/7/2009 1:00,0.485,3.68975
1/7/2009 2:00,0.37975,3.54275
1/7/2009 3:00,0.06575,2.895
1/7/2009 4:00,0.057,2.7895
1/7/2009 5:00,0.0315,2.48
1/7/2009 6:00,0.0015,1.941
1/7/2009 7:00,0,1.84225
1/7/2009 8:00,0,1.91525
1/7/2009 9:00,0,1.9185
1/7/2009 10:00,0,1.25625
1/7/2009 11:00,0,1.122
1/7/2009 12:00,0,1.29575
1/7/2009 13:00,0,1.56875
1/7/2009 14:00,0,1.8465
1/7/2009 15:00,0.00125,1.95175
1/7/2009 16:00,0,1.871
1/7/2009 17:00,0.0185,2.33175
1/7/2009 18:00,0,2.23125
1/7/2009 19:00,0.03575,2.5455
1/7/2009 20:00,0.02275,2.38625
1/7/2009 21:00,0.072,2.98125
1/7/2009 22:00,0.06725,2.9245
1/7/2009 23:00,0.05025,2.71725
1/8/2009 0:00,0.0445,2.6465
1/8/2009 1:00,0.03475,2.52275
1/8/2009 2:00,0.0545,2.76625
1/8/2009 3:00,0.0345,2.525
1/8/2009 4:00,1.311,4.4905
1/8/2009 5:00,7.41275,7.62825
1/8/2009 6:00,11.302,8.971
1/8/2009 7:00,14.04775,10.16875
1/8/2009 8:00,11.8145,9.14275
1/8/2009 9:00,8.413,7.98675
1/8/2009 10:00,3.99625,6.18725
1/8/2009 11:00,0.381,3.493
1/8/2009 12:00,2.51675,5.40575
1/8/2009 13:00,5.04175,6.68
1/8/2009 14:00,3.93225,6.16875
1/8/2009 15:00,1.9475,5.03725
1/8/2009 16:00,3.59925,6.00475
1/8/2009 17:00,9.7735,8.4565
1/8/2009 18:00,10.347,8.6575
1/8/2009 19:00,14.731,10.601
1/8/2009 20:00,14.9005,10.7315
1/8/2009 21:00,16,13.08525
1/8/2009 22:00,16,14.874
1/8/2009 23:00,16,18.206
1/9/2009 0:00,16,18.59
1/9/2009 1:00,16,17.5605
1/9/2009 2:00,16,18.53575
1/9/2009 3:00,16,17.502
1/9/2009 4:00,16,16.4735
1/9/2009 5:00,16,15.889
1/9/2009 6:00,16,15.92175
1/9/2009 7:00,16,13.88525
1/9/2009 8:00,9.24325,8.28425
1/9/2009 9:00,3.94475,6.15175
1/9/2009 10:00,1.9755,4.98225
1/9/2009 11:00,1.498,3.9965
1/9/2009 12:00,3.30375,5.15175
1/9/2009 13:00,8.7835,8.1485
1/9/2009 14:00,6.191,7.04925
1/9/2009 15:00,4.85375,6.6815
1/9/2009 16:00,0.431,3.43675
1/9/2009 17:00,2.1255,4.98325
1/9/2009 18:00,12.9785,9.89525
1/9/2009 19:00,11.0365,8.9355
1/9/2009 20:00,5.09625,6.7295
1/9/2009 21:00,14.0735,10.1885
1/9/2009 22:00,14.639,10.723
1/9/2009 23:00,15.08875,11.26025
1/10/2009 0:00,14.28425,10.34125
1/10/2009 1:00,13.0835,9.68075
1/10/2009 2:00,11.5965,9.26075
1/10/2009 3:00,4.50725,6.387
1/10/2009 4:00,3.52725,5.845
1/10/2009 5:00,3.56,5.80025
1/10/2009 6:00,0.59125,3.4845
1/10/2009 7:00,0.486,3.368
1/10/2009 8:00,0.63025,3.6015
1/10/2009 9:00,1.154,4.06375
1/10/2009 10:00,0.7305,3.77225
1/10/2009 11:00,1.021,4.15975
1/10/2009 12:00,0.664,3.8485
1/10/2009 13:00,0.992,4.27975
1/10/2009 14:00,0.836,4.1525
1/10/2009 15:00,0.25975,3.3365
1/10/2009 16:00,0.185,3.06375
1/10/2009 17:00,0.59375,3.84575
1/10/2009 18:00,0.569,3.786
1/10/2009 19:00,0.5265,3.7465
1/10/2009 20:00,1.23575,4.4925
1/10/2009 21:00,1.4685,4.69475
1/10/2009 22:00,4.62275,6.535
1/10/2009 23:00,9.72725,8.47075
1/11/2009 0:00,15.342,11.19275
1/11/2009 1:00,14.6515,10.55575
1/11/2009 2:00,10.91275,8.859
1/11/2009 3:00,10.65375,8.76825
1/11/2009 4:00,10.25125,8.6315
1/11/2009 5:00,7.0015,7.48575
1/11/2009 6:00,8.404,7.9905
1/11/2009 7:00,8.236,7.94575
1/11/2009 8:00,6.20325,7.2165
1/11/2009 9:00,8.5375,8.05475
1/11/2009 10:00,6.4495,7.2925
1/11/2009 11:00,6.53925,7.34275
1/11/2009 12:00,7.13125,7.58025
1/11/2009 13:00,0.4985,3.50075
1/11/2009 14:00,4.0805,6.25725
1/11/2009 15:00,3.192,5.885
1/11/2009 16:00,2.05325,5.19425
1/11/2009 17:00,4.052,6.348
1/11/2009 18:00,9.95475,8.957
1/11/2009 19:00,14.035,11.5405
1/11/2009 20:00,15.7335,12.63975
1/11/2009 21:00,5.5465,6.744
1/11/2009 22:00,9.9825,9.681
1/11/2009 23:00,16,15.47825
1/12/2009 0:00,11.38675,9.68975
1/12/2009 1:00,15.83675,13.2695
1/12/2009 2:00,11.112,9.0225
1/12/2009 3:00,9.15225,8.2705
1/12/2009 4:00,15.143,11.2125
1/12/2009 5:00,15.915,12.50825
1/12/2009 6:00,15.83275,12.21725
1/12/2009 7:00,15.279,11.199
1/12/2009 8:00,15.35325,11.331
1/12/2009 9:00,13.382,9.921
1/12/2009 10:00,13.8855,10.15525
1/12/2009 11:00,5.98675,7.1715
1/12/2009 12:00,6.373,7.06925
1/12/2009 13:00,3.49025,4.75025
1/12/2009 14:00,6.0215,6.5645
1/12/2009 15:00,0.67975,2.906
1/12/2009 16:00,1.77725,4.7025
1/12/2009 17:00,7.9075,7.89925
1/12/2009 18:00,7.563,7.76575
1/12/2009 19:00,14.8635,10.78025
1/12/2009 20:00,16,14.01375
1/12/2009 21:00,16,15.34275
1/12/2009 22:00,15.9245,12.40975
1/12/2009 23:00,15.53425,11.55625
1/13/2009 0:00,14.06075,10.25975
1/13/2009 1:00,7.053,7.54075
1/13/2009 2:00,5.3715,6.8975
1/13/2009 3:00,7.48325,7.71475
1/13/2009 4:00,6.16225,7.22775
1/13/2009 5:00,11.0435,8.92975
1/13/2009 6:00,6.14325,7.07625
1/13/2009 7:00,2.80925,5.5125
1/13/2009 8:00,0.8805,4.04325
1/13/2009 9:00,0.72,3.825
1/13/2009 10:00,0.995,4.1925
1/13/2009 11:00,0.03975,2.50325
1/13/2009 12:00,0.059,2.8285
