Date,Power,Wind direction at 100m (deg),Wind speed at 100m (m/s),Surface air pressure (Pa)
1/1/2009 0:00,0,225.76575,1.072,101703.492
1/1/2009 1:00,0,215.41825,1.083,101690.446
1/1/2009 2:00,0,218.40175,1.228,101668.472
1/1/2009 3:00,0,217.736,1.1795,101654.052
1/1/2009 4:00,0,222.63525,1.259,101650.848
1/1/2009 5:00,0,231.154,1.073,101653.364
1/1/2009 6:00,0,247.9485,1.43,101647.872
1/1/2009 7:00,0,247.82675,1.46,101653.826
1/1/2009 8:00,0,252.189,1.74975,101671.676
1/1/2009 9:00,0,242.00425,1.735,101680.37
1/1/2009 10:00,0,244.8865,1.99825,101679.228
1/1/2009 11:00,0,244.204,1.748,101654.966
1/1/2009 12:00,0,204.25425,0.938,101618.342
1/1/2009 13:00,0,183.371,0.98225,101553.108
1/1/2009 14:00,0,156.30425,1.5315,101466.136
1/1/2009 15:00,0.012,143.4955,2.249,101406.62
1/1/2009 16:00,0.05175,144.864,2.73075,101353.518
1/1/2009 17:00,0.3775,144.59775,3.54225,101323.306
1/1/2009 18:00,0.19225,157.831,3.2605,101284.168
1/1/2009 19:00,0.07025,167.896,2.92175,101248.458
1/1/2009 20:00,0.1595,199.481,3.14925,101239.99
1/1/2009 21:00,0.96375,215.98025,4.23925,101232.438
1/1/2009 22:00,1.22,216.971,4.49325,101213.21
1/1/2009 23:00,1.54725,220.6305,4.73675,101188.49
1/2/2009 0:00,1.808,207.09475,4.91925,101185.058
1/2/2009 1:00,1.19325,208.25175,4.46975,101176.816
1/2/2009 2:00,0.82075,210.08775,4.0715,101144.772
1/2/2009 3:00,0.10025,204.726,3.03325,101109.526
1/2/2009 4:00,0.351,181.589,3.5145,101100.828
1/2/2009 5:00,0.9445,180.74725,4.26225,101070.84
1/2/2009 6:00,1.83725,170.071,4.9725,101019.34
1/2/2009 7:00,4.98425,165.12625,6.725,100941.976
1/2/2009 8:00,6.01875,169.443,7.154,100926.182
1/2/2009 9:00,8.03675,167.85525,7.89525,100879.034
1/2/2009 10:00,7.52675,176.853,7.74075,100851.566
1/2/2009 11:00,5.67625,176.848,7.03375,100812.196
