Date,Power,Wind direction at 100m (deg),Wind speed at 100m (m/s),Air Temperature at 2m (k)
1/1/2009 0:00,0,225.76575,1.072,275.715
1/1/2009 1:00,0,215.41825,1.083,275.9485
1/1/2009 2:00,0,218.40175,1.228,275.9035
1/1/2009 3:00,0,217.736,1.1795,275.877
1/1/2009 4:00,0,222.63525,1.259,275.764
1/1/2009 5:00,0,231.154,1.073,275.7335
1/1/2009 6:00,0,247.9485,1.43,276.03925
1/1/2009 7:00,0,247.82675,1.46,276.32925
1/1/2009 8:00,0,252.189,1.74975,276.8045
1/1/2009 9:00,0,242.00425,1.735,277.17475
1/1/2009 10:00,0,244.8865,1.99825,277.7535
1/1/2009 11:00,0,244.204,1.748,278.40475
1/1/2009 12:00,0,204.25425,0.938,279.7695
1/1/2009 13:00,0,183.371,0.98225,281.70275
1/1/2009 14:00,0,156.30425,1.5315,282.7015
1/1/2009 15:00,0.012,143.4955,2.249,282.613
1/1/2009 16:00,0.05175,144.864,2.73075,281.51125
1/1/2009 17:00,0.3775,144.59775,3.54225,279.3325
1/1/2009 18:00,0.19225,157.831,3.2605,278.518
1/1/2009 19:00,0.07025,167.896,2.92175,278.275
1/1/2009 20:00,0.1595,199.481,3.14925,278.2935
1/1/2009 21:00,0.96375,215.98025,4.23925,278.1985
1/1/2009 22:00,1.22,216.971,4.49325,278.1445
1/1/2009 23:00,1.54725,220.6305,4.73675,278.36275
1/2/2009 0:00,1.808,207.09475,4.91925,278.475
1/2/2009 1:00,1.19325,208.25175,4.46975,277.72475
1/2/2009 2:00,0.82075,210.08775,4.0715,278.603
1/2/2009 3:00,0.10025,204.726,3.03325,279.24925
1/2/2009 4:00,0.351,181.589,3.5145,279.46225
1/2/2009 5:00,0.9445,180.74725,4.26225,279.60325
1/2/2009 6:00,1.83725,170.071,4.9725,279.6955
1/2/2009 7:00,4.98425,165.12625,6.725,279.52075
1/2/2009 8:00,6.01875,169.443,7.154,280.50875
