Date,Power,Wind speed at 100m (m/s)
1/1/2009 0:00,16,22.2168
1/1/2009 1:00,16,21.0908
1/1/2009 2:00,16,20.9154
1/1/2009 3:00,16,20.8936
1/1/2009 4:00,16,20.658
1/1/2009 5:00,16,20.9602
1/1/2009 6:00,16,20.956
1/1/2009 7:00,16,20.5646
1/1/2009 8:00,16,21.0972
1/1/2009 9:00,16,20.669
1/1/2009 10:00,16,21.097
1/1/2009 11:00,16,20.527
1/1/2009 12:00,16,20.3952
1/1/2009 13:00,16,20.14
1/1/2009 14:00,16,19.7724
1/1/2009 15:00,16,19.6994
1/1/2009 16:00,16,20.6146
1/1/2009 17:00,16,21.1812
1/1/2009 18:00,16,21.39
1/1/2009 19:00,16,20.111
1/1/2009 20:00,16,19.507
1/1/2009 21:00,16,18.7434
1/1/2009 22:00,16,17.3756
1/1/2009 23:00,16,16.372
1/2/2009 0:00,16,15.0602
1/2/2009 1:00,15.9342,14.2454
1/2/2009 2:00,15.6164,13.3636
1/2/2009 3:00,14.8428,12.5602
1/2/2009 4:00,13.0894,11.403
1/2/2009 5:00,9.0836,9.7676
1/2/2009 6:00,5.529,8.2782
1/2/2009 7:00,2.9258,6.7404
1/2/2009 8:00,1.6872,5.6944
1/2/2009 9:00,1.9988,6.0218
1/2/2009 10:00,2.7064,6.605
1/2/2009 11:00,3.5706,7.244
1/2/2009 12:00,5.5646,8.3654
1/2/2009 13:00,3.8264,7.4068
1/2/2009 14:00,12.6814,11.3816
1/2/2009 15:00,10.075,10.2714
1/2/2009 16:00,16,15.7582
1/2/2009 17:00,16,15.236
1/2/2009 18:00,15.8494,14.1656
1/2/2009 19:00,16,15.534
1/2/2009 20:00,14.5626,12.4774
1/2/2009 21:00,14.2432,12.2852
1/2/2009 22:00,15.9468,14.4848
1/2/2009 23:00,15.7956,13.9788
1/3/2009 0:00,13.6028,11.856
1/3/2009 1:00,10.2614,10.3318
1/3/2009 2:00,12.4236,11.245
1/3/2009 3:00,15.8102,14.035
1/3/2009 4:00,15.3904,13.2836
1/3/2009 5:00,15.5038,13.3978
1/3/2009 6:00,15.957,14.4658
1/3/2009 7:00,16,15.442
1/3/2009 8:00,16,16.5328
1/3/2009 9:00,16,16.6602
1/3/2009 10:00,16,16.001
1/3/2009 11:00,16,15.2474
1/3/2009 12:00,16,15.3118
1/3/2009 13:00,16,16.7218
1/3/2009 14:00,16,16.8572
1/3/2009 15:00,16,17.0642
1/3/2009 16:00,16,17.3548
1/3/2009 17:00,16,18.0164
1/3/2009 18:00,16,18.3606
1/3/2009 19:00,16,18.7972
1/3/2009 20:00,16,18.7634
1/3/2009 21:00,16,19.0722
1/3/2009 22:00,16,18.4382
1/3/2009 23:00,16,17.707
1/4/2009 0:00,16,17.0858
1/4/2009 1:00,16,17.4682
1/4/2009 2:00,16,17.5284
1/4/2009 3:00,16,17.1222
1/4/2009 4:00,16,16.4998
1/4/2009 5:00,16,16.2642
1/4/2009 6:00,16,15.8814
1/4/2009 7:00,16,15.7592
1/4/2009 8:00,16,15.4186
1/4/2009 9:00,16,14.8412
1/4/2009 10:00,15.526,13.3184
1/4/2009 11:00,14.371,12.2424
1/4/2009 12:00,11.868,10.9106
1/4/2009 13:00,8.2032,9.4688
1/4/2009 14:00,6.6846,8.823
1/4/2009 15:00,6.5106,8.7498
1/4/2009 16:00,6.4068,8.7076
1/4/2009 17:00,5.732,8.4104
1/4/2009 18:00,5.2776,8.187
1/4/2009 19:00,4.2282,7.61
1/4/2009 20:00,2.8916,6.7442
1/4/2009 21:00,1.719,5.7486
1/4/2009 22:00,1.1268,5.1194
1/4/2009 23:00,0.5204,4.2624
1/5/2009 0:00,0.439,4.1392
1/5/2009 1:00,0.4538,4.166
1/5/2009 2:00,0.6796,4.4942
1/5/2009 3:00,1.8474,5.8956
1/5/2009 4:00,2.4894,6.4738
1/5/2009 5:00,3.5858,7.2788
1/5/2009 6:00,3.9992,7.5224
1/5/2009 7:00,6.687,8.8962
1/5/2009 8:00,9.629,10.1004
1/5/2009 9:00,13.3882,11.7438
1/5/2009 10:00,11.856,11.0118
1/5/2009 11:00,11.842,11.0048
1/5/2009 12:00,11.9472,11.0466
1/5/2009 13:00,12.2426,11.168
1/5/2009 14:00,10.2348,10.3208
1/5/2009 15:00,9.3284,9.9742
1/5/2009 16:00,10.4614,10.404
1/5/2009 17:00,8.7112,9.7364
1/5/2009 18:00,8.866,9.793
1/5/2009 19:00,10.6298,10.468
1/5/2009 20:00,11.8918,10.993
1/5/2009 21:00,11.0794,10.6376
1/5/2009 22:00,12.6606,11.3034
1/5/2009 23:00,11.102,10.6332
1/6/2009 0:00,10.6438,10.433
1/6/2009 1:00,11.0708,10.6066
1/6/2009 2:00,10.483,10.3552
1/6/2009 3:00,10.4478,10.3356
1/6/2009 4:00,10.2832,10.2674
1/6/2009 5:00,8.1676,9.4604
1/6/2009 6:00,6.0976,8.563
1/6/2009 7:00,4.133,7.5424
1/6/2009 8:00,2.6612,6.5616
1/6/2009 9:00,1.5278,5.5394
1/6/2009 10:00,0.4724,4.1786
1/6/2009 11:00,0.279,3.7574
1/6/2009 12:00,0.116,3.3822
1/6/2009 13:00,0.1,2.6308
1/6/2009 14:00,0.1,2.116
1/6/2009 15:00,0.1,1.7884
1/6/2009 16:00,0.1,1.6628
1/6/2009 17:00,0.1,1.7098
1/6/2009 18:00,0.1,2.4374
1/6/2009 19:00,0.0584,3.254
1/6/2009 20:00,0.1514,3.4708
1/6/2009 21:00,0.7136,4.535
1/6/2009 22:00,1.5694,5.5998
1/6/2009 23:00,2.873,6.7398
1/7/2009 0:00,4.5192,7.7848
1/7/2009 1:00,7.703,9.3088
1/7/2009 2:00,10.597,10.4194
1/7/2009 3:00,12.782,11.3742
1/7/2009 4:00,15.606,13.5234
1/7/2009 5:00,15.7894,13.9362
1/7/2009 6:00,15.999,14.6796
1/7/2009 7:00,16,15.4158
1/7/2009 8:00,15.9302,14.4398
1/7/2009 9:00,16,14.9794
1/7/2009 10:00,16,15.0738
1/7/2009 11:00,14.4454,12.5798
1/7/2009 12:00,15.227,13.3152
1/7/2009 13:00,15.9438,15.3182
1/7/2009 14:00,16,20.6268
1/7/2009 15:00,16,20.0062
1/7/2009 16:00,16,24.0062
1/7/2009 17:00,11.8434,11.1768
1/7/2009 18:00,15.9318,14.8034
1/7/2009 19:00,16,15.8024
1/7/2009 20:00,16,20.4292
1/7/2009 21:00,16,20.2504
1/7/2009 22:00,16,20.1008
1/7/2009 23:00,16,20.4786
1/8/2009 0:00,16,19.0692
1/8/2009 1:00,16,17.0032
1/8/2009 2:00,16,17.5996
1/8/2009 3:00,16,17.3048
1/8/2009 4:00,16,20.3584
1/8/2009 5:00,16,20.747
1/8/2009 6:00,16,21.1638
1/8/2009 7:00,16,21.9618
1/8/2009 8:00,16,21.1818
1/8/2009 9:00,16,20.9134
1/8/2009 10:00,16,20.923
1/8/2009 11:00,16,20.365
1/8/2009 12:00,16,19.0942
1/8/2009 13:00,16,16.1678
1/8/2009 14:00,16,19.4258
1/8/2009 15:00,16,19.1626
1/8/2009 16:00,16,18.526
1/8/2009 17:00,16,18.3802
1/8/2009 18:00,16,18.116
1/8/2009 19:00,16,17.8174
1/8/2009 20:00,16,17.4298
1/8/2009 21:00,15.987,14.7306
1/8/2009 22:00,16,14.9634
1/8/2009 23:00,15.8052,14.9076
1/9/2009 0:00,15.9754,14.5454
1/9/2009 1:00,15.889,14.212
1/9/2009 2:00,15.1608,12.9774
1/9/2009 3:00,14.1984,12.1636
1/9/2009 4:00,14.8632,12.6572
1/9/2009 5:00,14.8462,12.6188
1/9/2009 6:00,14.4872,12.3236
1/9/2009 7:00,15.1292,12.901
1/9/2009 8:00,15.3292,13.1032
1/9/2009 9:00,15.7188,13.5952
1/9/2009 10:00,15.799,13.8482
1/9/2009 11:00,15.723,13.6048
1/9/2009 12:00,15.7322,13.637
1/9/2009 13:00,15.7772,13.7834
1/9/2009 14:00,15.9818,14.441
1/9/2009 15:00,16,14.8266
1/9/2009 16:00,16,15.0488
1/9/2009 17:00,16,15.6676
1/9/2009 18:00,16,16.3898
1/9/2009 19:00,16,16.4088
1/9/2009 20:00,16,16.5358
1/9/2009 21:00,16,16.1302
1/9/2009 22:00,16,15.373
1/9/2009 23:00,16,14.846
1/10/2009 0:00,15.734,13.5936
1/10/2009 1:00,15.3314,13.0474
1/10/2009 2:00,14.6094,12.3278
1/10/2009 3:00,14.0138,11.948
1/10/2009 4:00,13.385,11.5518
1/10/2009 5:00,12.2764,11.0118
1/10/2009 6:00,11.8712,10.8388
1/10/2009 7:00,10.0094,10.0802
1/10/2009 8:00,8.2746,9.429
1/10/2009 9:00,7.4262,9.0826
1/10/2009 10:00,5.2524,8.101
1/10/2009 11:00,3.696,7.2482
1/10/2009 12:00,2.6826,6.534
1/10/2009 13:00,2.2896,6.2534
1/10/2009 14:00,1.7454,5.7302
1/10/2009 15:00,1.1478,5.1112
1/10/2009 16:00,0.695,4.4776
1/10/2009 17:00,0.3244,3.8468
1/10/2009 18:00,0.1,2.9758
1/10/2009 19:00,0.1,1.4796
1/10/2009 20:00,0.1,2.703
1/10/2009 21:00,0.4464,4.1164
1/10/2009 22:00,2.423,6.3746
1/10/2009 23:00,7.2414,9.0582
1/11/2009 0:00,11.6898,10.8458
1/11/2009 1:00,13.3208,11.613
1/11/2009 2:00,14.9764,12.7994
1/11/2009 3:00,15.9054,14.314
1/11/2009 4:00,15.7586,13.8666
1/11/2009 5:00,7.6932,9.351
1/11/2009 6:00,3.2874,7.0908
1/11/2009 7:00,9.4536,10.0796
1/11/2009 8:00,10.02,10.294
1/11/2009 9:00,15.4844,13.659
1/11/2009 10:00,13.0864,11.594
1/11/2009 11:00,12.9696,11.5092
1/11/2009 12:00,11.9262,11.0274
1/11/2009 13:00,14.8362,12.6934
1/11/2009 14:00,12.5132,11.2702
1/11/2009 15:00,12.472,11.2662
1/11/2009 16:00,9.4146,9.9834
1/11/2009 17:00,11.0672,10.6314
1/11/2009 18:00,9.8014,10.1262
1/11/2009 19:00,13.0546,11.4866
1/11/2009 20:00,11.851,10.9446
1/11/2009 21:00,6.1386,8.6038
1/11/2009 22:00,4.7616,7.9102
1/11/2009 23:00,4.2758,7.6396
1/12/2009 0:00,2.4986,6.4612
1/12/2009 1:00,2.485,6.45
1/12/2009 2:00,2.5092,6.4626
1/12/2009 3:00,2.2732,6.2782
1/12/2009 4:00,2.7556,6.625
1/12/2009 5:00,2.0902,6.122
1/12/2009 6:00,1.6426,5.6674
1/12/2009 7:00,1.3878,5.4044
1/12/2009 8:00,1.2064,5.2038
1/12/2009 9:00,2.5112,6.3916
1/12/2009 10:00,0.9568,4.8558
1/12/2009 11:00,2.1736,6.1514
1/12/2009 12:00,1.2378,5.2256
1/12/2009 13:00,2.4356,6.3012
1/12/2009 14:00,9.9558,10.1236
1/12/2009 15:00,13.327,11.5764
1/12/2009 16:00,8.801,9.6712
1/12/2009 17:00,5.2104,8.112
1/12/2009 18:00,3.424,7.095
1/12/2009 19:00,3.2962,6.9992
1/12/2009 20:00,2.5524,6.4596
1/12/2009 21:00,1.9416,5.9408
1/12/2009 22:00,1.0918,5.0376
1/12/2009 23:00,0.4938,4.1958
1/13/2009 0:00,0.043,3.1992
1/13/2009 1:00,0.1,2.3306
1/13/2009 2:00,0.1,1.4048
1/13/2009 3:00,0.1,1.3454
1/13/2009 4:00,0.1,1.844
1/13/2009 5:00,0.1,2.159
1/13/2009 6:00,0.1,2.7224
1/13/2009 7:00,0.08,3.29
1/13/2009 8:00,0.2474,3.677
1/13/2009 9:00,0.6208,4.3864
1/13/2009 10:00,1.0442,4.9888
1/13/2009 11:00,0.8916,4.7776
1/13/2009 12:00,1.6964,5.7206
1/13/2009 13:00,3.4226,7.1322
1/13/2009 14:00,6.572,8.8006
1/13/2009 15:00,9.497,10.0048
1/13/2009 16:00,10.212,10.2866
1/13/2009 17:00,10.161,10.28
1/13/2009 18:00,11.528,10.8542
1/13/2009 19:00,15.6482,13.6236
1/13/2009 20:00,13.4372,11.867
1/13/2009 21:00,4.8326,8.0214
1/13/2009 22:00,2.8952,6.7466
1/13/2009 23:00,0.233,3.6934
1/14/2009 0:00,0.2764,3.7942
1/14/2009 1:00,3.5702,7.2958
1/14/2009 2:00,3.2542,7.0382
1/14/2009 3:00,15.5094,13.4648
1/14/2009 4:00,15.353,13.2684
1/14/2009 5:00,16,15.0054
1/14/2009 6:00,16,16.7608
1/14/2009 7:00,16,16.7346
1/14/2009 8:00,16,17.0222
1/14/2009 9:00,16,17.878
1/14/2009 10:00,16,16.0466
1/14/2009 11:00,16,14.7154
1/14/2009 12:00,15.7072,13.4998
1/14/2009 13:00,14.4224,12.2016
1/14/2009 14:00,12.3732,11.052
1/14/2009 15:00,9.56,9.9132
1/14/2009 16:00,8.5096,9.5168
1/14/2009 17:00,6.3962,8.6296
1/14/2009 18:00,4.6406,7.7634
1/14/2009 19:00,2.5096,6.403
1/14/2009 20:00,1.8156,5.7906
1/14/2009 21:00,1.554,5.5242
1/14/2009 22:00,1.0604,4.9764
1/14/2009 23:00,1.542,5.5156
1/15/2009 0:00,1.612,5.5874
1/15/2009 1:00,1.6244,5.6016
1/15/2009 2:00,1.5278,5.502
1/15/2009 3:00,1.1036,5.0392
1/15/2009 4:00,0.9698,4.854
1/15/2009 5:00,1.4194,5.3956
1/15/2009 6:00,2.0108,5.9994
1/15/2009 7:00,1.9862,5.9758
1/15/2009 8:00,2.3104,6.2712
1/15/2009 9:00,3.4256,7.0778
1/15/2009 10:00,4.8554,7.8972
1/15/2009 11:00,6.3546,8.6308
1/15/2009 12:00,8.7124,9.559
1/15/2009 13:00,13.5512,11.6852
1/15/2009 14:00,13.9026,11.9108
1/15/2009 15:00,14.515,12.413
1/15/2009 16:00,15.553,13.317
1/15/2009 17:00,16,15.1776
1/15/2009 18:00,16,15.6676
1/15/2009 19:00,16,14.6988
1/15/2009 20:00,15.7752,13.717
1/15/2009 21:00,14.9094,12.5942
1/15/2009 22:00,15.6444,13.6592
1/15/2009 23:00,15.8052,13.8454
1/16/2009 0:00,13.9542,11.8754
1/16/2009 1:00,14.7684,12.4176
1/16/2009 2:00,15.0366,12.6776
1/16/2009 3:00,13.5194,11.582
1/16/2009 4:00,13.0156,11.281
