Date,Power,Wind direction at 100m (deg),Wind speed at 100m (m/s),Air Temperature at 2m (k)
1/1/2009 0:00,16,317.2112,22.2168,271.4788
1/1/2009 1:00,16,315.9462,21.0908,270.7968
1/1/2009 2:00,16,315.773,20.9154,270.553
1/1/2009 3:00,16,317.1912,20.8936,270.0614
1/1/2009 4:00,16,319.2234,20.658,269.6396
1/1/2009 5:00,16,319.0688,20.9602,269.4404
1/1/2009 6:00,16,318.5412,20.956,269.2848
1/1/2009 7:00,16,316.564,20.5646,269.0692
1/1/2009 8:00,16,315.8674,21.0972,268.9748
1/1/2009 9:00,16,315.5364,20.669,268.9486
1/1/2009 10:00,16,315.8396,21.097,269.0206
1/1/2009 11:00,16,314.2206,20.527,269.1896
1/1/2009 12:00,16,312.5548,20.3952,269.3152
1/1/2009 13:00,16,311.501,20.14,269.7534
1/1/2009 14:00,16,309.3014,19.7724,270.1796
1/1/2009 15:00,16,308.0878,19.6994,270.9816
1/1/2009 16:00,16,309.2678,20.6146,271.5406
1/1/2009 17:00,16,311.2452,21.1812,271.9466
1/1/2009 18:00,16,312.3152,21.39,272.1406
1/1/2009 19:00,16,311.5044,20.111,272.1188
1/1/2009 20:00,16,315.5332,19.507,272.1566
1/1/2009 21:00,16,315.5408,18.7434,272.3544
1/1/2009 22:00,16,314.5622,17.3756,272.4424
1/1/2009 23:00,16,313.6666,16.372,272.46
1/2/2009 0:00,16,310.6168,15.0602,272.5356
1/2/2009 1:00,15.9342,310.2342,14.2454,272.6492
1/2/2009 2:00,15.6164,308.0106,13.3636,272.8162
1/2/2009 3:00,14.8428,307.8404,12.5602,272.9764
1/2/2009 4:00,13.0894,305.988,11.403,273.1174
1/2/2009 5:00,9.0836,302.402,9.7676,273.304
1/2/2009 6:00,5.529,298.831,8.2782,273.6448
1/2/2009 7:00,2.9258,291.257,6.7404,274.1008
1/2/2009 8:00,1.6872,269.5014,5.6944,274.3498
1/2/2009 9:00,1.9988,255.7318,6.0218,275.2982
1/2/2009 10:00,2.7064,241.7588,6.605,276.2418
1/2/2009 11:00,3.5706,230.9184,7.244,277.1312
1/2/2009 12:00,5.5646,223.897,8.3654,278.2506
1/2/2009 13:00,3.8264,217.555,7.4068,278.751
1/2/2009 14:00,12.6814,232.7916,11.3816,280.2404
1/2/2009 15:00,10.075,247.0742,10.2714,280.0754
1/2/2009 16:00,16,247.5226,15.7582,280.2966
1/2/2009 17:00,16,256.7922,15.236,279.8808
1/2/2009 18:00,15.8494,256.083,14.1656,279.6214
1/2/2009 19:00,16,260.5976,15.534,279.0672
1/2/2009 20:00,14.5626,267.2872,12.4774,279.2198
1/2/2009 21:00,14.2432,267.5664,12.2852,279.666
1/2/2009 22:00,15.9468,281.4666,14.4848,279.338
1/2/2009 23:00,15.7956,286.934,13.9788,278.5014
1/3/2009 0:00,13.6028,287.5988,11.856,278.2184
1/3/2009 1:00,10.2614,286.4768,10.3318,278.1906
1/3/2009 2:00,12.4236,278.7266,11.245,278.582
1/3/2009 3:00,15.8102,281.1372,14.035,278.6642
1/3/2009 4:00,15.3904,287.6558,13.2836,277.927
1/3/2009 5:00,15.5038,293.5102,13.3978,277.0352
1/3/2009 6:00,15.957,301.3614,14.4658,277.0506
1/3/2009 7:00,16,291.3868,15.442,276.6824
1/3/2009 8:00,16,297.8106,16.5328,276.649
1/3/2009 9:00,16,300.6914,16.6602,276.3956
1/3/2009 10:00,16,297.5646,16.001,276.2448
1/3/2009 11:00,16,297.5306,15.2474,276.2474
1/3/2009 12:00,16,296.1308,15.3118,276.2424
1/3/2009 13:00,16,294.1852,16.7218,276.2602
1/3/2009 14:00,16,291.757,16.8572,276.1624
1/3/2009 15:00,16,292.026,17.0642,276.191
1/3/2009 16:00,16,291.9034,17.3548,276.1778
1/3/2009 17:00,16,293.8552,18.0164,276.1064
1/3/2009 18:00,16,293.35,18.3606,275.947
1/3/2009 19:00,16,294.2124,18.7972,275.82
1/3/2009 20:00,16,295.8054,18.7634,275.5372
1/3/2009 21:00,16,296.6506,19.0722,275.1944
1/3/2009 22:00,16,298.2898,18.4382,274.747
1/3/2009 23:00,16,299.472,17.707,274.3466
1/4/2009 0:00,16,301.2592,17.0858,274.0928
1/4/2009 1:00,16,297.2998,17.4682,273.9778
1/4/2009 2:00,16,298.2172,17.5284,273.7592
1/4/2009 3:00,16,298.2984,17.1222,273.6794
1/4/2009 4:00,16,298.5478,16.4998,273.7778
1/4/2009 5:00,16,298.7292,16.2642,273.903
1/4/2009 6:00,16,299.5818,15.8814,274.0842
1/4/2009 7:00,16,303.5872,15.7592,274.3802
1/4/2009 8:00,16,305.601,15.4186,274.532
1/4/2009 9:00,16,306.1714,14.8412,274.4888
1/4/2009 10:00,15.526,306.001,13.3184,274.3204
1/4/2009 11:00,14.371,307.2492,12.2424,274.3136
1/4/2009 12:00,11.868,306.7726,10.9106,274.501
1/4/2009 13:00,8.2032,305.408,9.4688,274.6982
1/4/2009 14:00,6.6846,303.724,8.823,275.0078
1/4/2009 15:00,6.5106,305.0188,8.7498,275.3604
1/4/2009 16:00,6.4068,302.1624,8.7076,275.7942
1/4/2009 17:00,5.732,304.0642,8.4104,276.117
1/4/2009 18:00,5.2776,308.528,8.187,276.3742
1/4/2009 19:00,4.2282,307.7454,7.61,276.6606
1/4/2009 20:00,2.8916,310.576,6.7442,276.699
1/4/2009 21:00,1.719,303.1436,5.7486,276.7718
1/4/2009 22:00,1.1268,293.893,5.1194,276.835
1/4/2009 23:00,0.5204,286.0364,4.2624,276.9308
1/5/2009 0:00,0.439,273.6762,4.1392,277.1198
1/5/2009 1:00,0.4538,257.2028,4.166,277.3946
1/5/2009 2:00,0.6796,244.6702,4.4942,277.7412
1/5/2009 3:00,1.8474,237.396,5.8956,278.2136
1/5/2009 4:00,2.4894,236.5678,6.4738,278.7332
1/5/2009 5:00,3.5858,234.5054,7.2788,279.2714
1/5/2009 6:00,3.9992,230.3942,7.5224,279.7456
1/5/2009 7:00,6.687,232.185,8.8962,280.3854
1/5/2009 8:00,9.629,240.0502,10.1004,280.6308
1/5/2009 9:00,13.3882,243.5366,11.7438,280.6658
1/5/2009 10:00,11.856,249.7616,11.0118,280.6272
1/5/2009 11:00,11.842,261.2172,11.0048,280.5212
1/5/2009 12:00,11.9472,266.091,11.0466,280.3282
1/5/2009 13:00,12.2426,268.3148,11.168,280.0408
1/5/2009 14:00,10.2348,268.2084,10.3208,279.7636
1/5/2009 15:00,9.3284,274.351,9.9742,279.6666
1/5/2009 16:00,10.4614,278.984,10.404,279.623
1/5/2009 17:00,8.7112,282.5974,9.7364,279.6544
1/5/2009 18:00,8.866,282.8932,9.793,279.6342
1/5/2009 19:00,10.6298,293.5676,10.468,279.461
1/5/2009 20:00,11.8918,298.6256,10.993,278.906
1/5/2009 21:00,11.0794,296.3066,10.6376,278.5296
1/5/2009 22:00,12.6606,301.6746,11.3034,278.0118
1/5/2009 23:00,11.102,303.4812,10.6332,277.706
1/6/2009 0:00,10.6438,309.651,10.433,277.3782
1/6/2009 1:00,11.0708,312.8338,10.6066,276.9364
1/6/2009 2:00,10.483,315.563,10.3552,276.5648
1/6/2009 3:00,10.4478,323.6806,10.3356,276.1802
1/6/2009 4:00,10.2832,323.803,10.2674,275.942
1/6/2009 5:00,8.1676,326.8274,9.4604,275.7182
1/6/2009 6:00,6.0976,331.0738,8.563,275.5546
1/6/2009 7:00,4.133,334.0028,7.5424,275.436
1/6/2009 8:00,2.6612,340.7926,6.5616,275.3544
1/6/2009 9:00,1.5278,343.9566,5.5394,275.3294
1/6/2009 10:00,0.4724,341.4882,4.1786,275.2714
1/6/2009 11:00,0.279,338.266,3.7574,275.3216
1/6/2009 12:00,0.116,348.7616,3.3822,275.3336
1/6/2009 13:00,0.1,356.7136,2.6308,275.3952
1/6/2009 14:00,0.1,4.015,2.116,275.4776
1/6/2009 15:00,0.1,18.412,1.7884,275.5794
1/6/2009 16:00,0.1,33.4704,1.6628,275.7438
1/6/2009 17:00,0.1,44.8342,1.7098,275.9208
1/6/2009 18:00,0.1,56.3546,2.4374,276.0644
1/6/2009 19:00,0.0584,76.472,3.254,276.2038
1/6/2009 20:00,0.1514,88.0836,3.4708,276.398
1/6/2009 21:00,0.7136,87.204,4.535,276.6642
1/6/2009 22:00,1.5694,85.9756,5.5998,276.8406
1/6/2009 23:00,2.873,78.1552,6.7398,276.992
1/7/2009 0:00,4.5192,82.3466,7.7848,277.0298
1/7/2009 1:00,7.703,84.3384,9.3088,276.9804
1/7/2009 2:00,10.597,82.6586,10.4194,276.7442
1/7/2009 3:00,12.782,81.816,11.3742,276.9016
1/7/2009 4:00,15.606,86.226,13.5234,277.1878
1/7/2009 5:00,15.7894,87.238,13.9362,277.5218
1/7/2009 6:00,15.999,89.177,14.6796,277.8924
1/7/2009 7:00,16,88.9892,15.4158,278.2874
1/7/2009 8:00,15.9302,93.1238,14.4398,278.6942
1/7/2009 9:00,16,96.268,14.9794,279.2038
1/7/2009 10:00,16,103.1118,15.0738,279.8716
1/7/2009 11:00,14.4454,188.5012,12.5798,280.3988
1/7/2009 12:00,15.227,201.4708,13.3152,282.2396
1/7/2009 13:00,15.9438,200.4236,15.3182,282.3042
1/7/2009 14:00,16,189.655,20.6268,283.5596
1/7/2009 15:00,16,188.8318,20.0062,284.1472
1/7/2009 16:00,16,193.7154,24.0062,284.8846
1/7/2009 17:00,11.8434,257.553,11.1768,283.2528
1/7/2009 18:00,15.9318,221.4444,14.8034,282.3356
1/7/2009 19:00,16,204.6054,15.8024,282.736
