Date,Power,Wind speed at 100m (m/s)
1/1/2009 0:00,15.99975,15.719375
1/1/2009 1:00,16,16.2395
1/1/2009 2:00,16,16.44475
1/1/2009 3:00,15.999875,16.069125
1/1/2009 4:00,15.998375,15.38025
1/1/2009 5:00,15.932125,13.677625
1/1/2009 6:00,15.594125,12.379625
1/1/2009 7:00,14.27475,11.163
1/1/2009 8:00,12.03975,10.029375
1/1/2009 9:00,8.228875,8.631375
1/1/2009 10:00,5.157,7.39525
1/1/2009 11:00,3.981875,6.839375
1/1/2009 12:00,7.67625,8.515125
1/1/2009 13:00,11.087375,9.70825
1/1/2009 14:00,14.870375,11.376625
1/1/2009 15:00,15.49625,11.90725
1/1/2009 16:00,14.345125,11.03125
1/1/2009 17:00,15.459625,11.961875
1/1/2009 18:00,13.656625,10.642
1/1/2009 19:00,15.866125,12.83675
1/1/2009 20:00,15.991875,15.34475
1/1/2009 21:00,14.76025,11.286625
1/1/2009 22:00,13.70975,10.711375
1/1/2009 23:00,10.568375,9.432875
1/2/2009 0:00,6.7785,8.02
1/2/2009 1:00,7.67575,8.36275
1/2/2009 2:00,2.853125,6.0975
1/2/2009 3:00,1.251375,4.718375
1/2/2009 4:00,0.76375,4.249125
1/2/2009 5:00,0.617875,4.04625
1/2/2009 6:00,1.079625,4.611125
1/2/2009 7:00,0.307875,3.52675
1/2/2009 8:00,0.060625,2.8545
1/2/2009 9:00,0.459375,3.791375
1/2/2009 10:00,0.692,4.1645
1/2/2009 11:00,0.75075,4.248
1/2/2009 12:00,1.4,4.965375
1/2/2009 13:00,2.229125,5.675875
1/2/2009 14:00,2.779,6.09175
1/2/2009 15:00,4.411125,7.035875
1/2/2009 16:00,5.50675,7.561875
1/2/2009 17:00,8.507625,8.713
1/2/2009 18:00,12.424375,10.05775
1/2/2009 19:00,14.030625,10.73625
1/2/2009 20:00,14.934,11.282125
1/2/2009 21:00,15.522125,11.8505
1/2/2009 22:00,15.766125,12.335
1/2/2009 23:00,15.871375,12.73175
1/3/2009 0:00,15.822375,12.475
1/3/2009 1:00,15.745125,12.272875
1/3/2009 2:00,15.832,12.5395
1/3/2009 3:00,15.87275,12.704125
1/3/2009 4:00,14.8795,11.3035
1/3/2009 5:00,13.93775,10.702375
1/3/2009 6:00,9.615375,9.11775
1/3/2009 7:00,8.669,8.799125
1/3/2009 8:00,9.34325,9.025375
1/3/2009 9:00,7.602375,8.428625
1/3/2009 10:00,4.309625,7.002375
1/3/2009 11:00,1.4555,5.061
1/3/2009 12:00,0.059125,2.864875
1/3/2009 13:00,0.015,2.28625
1/3/2009 14:00,0.1,1.41775
1/3/2009 15:00,0.07575,2.975
1/3/2009 16:00,1.291375,4.88475
1/3/2009 17:00,7.478375,8.38025
1/3/2009 18:00,13.917125,10.649
1/3/2009 19:00,15.470875,11.634
1/3/2009 20:00,15.734375,12.196875
1/3/2009 21:00,15.692625,12.081
1/3/2009 22:00,15.6985,12.081875
1/3/2009 23:00,15.521,11.687
1/4/2009 0:00,14.55975,10.9575
1/4/2009 1:00,13.902125,10.54025
1/4/2009 2:00,15.054125,11.20075
1/4/2009 3:00,14.9745,11.1565
1/4/2009 4:00,13.606,10.3785
1/4/2009 5:00,10.868,9.366875
1/4/2009 6:00,10.1815,9.126375
1/4/2009 7:00,12.3855,9.877
1/4/2009 8:00,11.66625,9.621625
1/4/2009 9:00,8.524125,8.56575
1/4/2009 10:00,5.9825,7.62525
1/4/2009 11:00,3.990625,6.704375
1/4/2009 12:00,4.167,6.813125
1/4/2009 13:00,5.316625,7.39375
1/4/2009 14:00,7.38175,8.240375
1/4/2009 15:00,9.572375,9.000125
1/4/2009 16:00,12.053625,9.852375
1/4/2009 17:00,14.695125,11.12075
1/4/2009 18:00,15.69,12.1345
1/4/2009 19:00,15.871,12.748375
1/4/2009 20:00,15.955375,13.326
1/4/2009 21:00,15.9295,13.0825
1/4/2009 22:00,15.9415,13.200125
1/4/2009 23:00,15.820875,12.531875
1/5/2009 0:00,15.567125,12.026
1/5/2009 1:00,15.668875,12.127625
1/5/2009 2:00,15.9155,12.95575
1/5/2009 3:00,15.968375,13.448625
1/5/2009 4:00,15.95225,13.303125
1/5/2009 5:00,15.92175,13.111375
1/5/2009 6:00,15.961625,13.3655
1/5/2009 7:00,15.991875,14.161875
1/5/2009 8:00,15.8955,12.839
1/5/2009 9:00,13.559125,10.60975
1/5/2009 10:00,14.65975,11.154625
1/5/2009 11:00,10.601125,9.436625
1/5/2009 12:00,9.144375,8.9595
1/5/2009 13:00,10.520625,9.44475
1/5/2009 14:00,11.56975,9.82425
1/5/2009 15:00,13.592125,10.6
1/5/2009 16:00,15.557,11.936625
1/5/2009 17:00,15.998625,14.770375
1/5/2009 18:00,16,16.102
1/5/2009 19:00,16,16.585625
1/5/2009 20:00,16,17.313625
1/5/2009 21:00,16,17.481625
1/5/2009 22:00,16,16.718
1/5/2009 23:00,16,15.842375
1/6/2009 0:00,16,15.858625
1/6/2009 1:00,16,16.023125
1/6/2009 2:00,16,15.508125
1/6/2009 3:00,15.999125,14.827
1/6/2009 4:00,15.98825,13.90225
1/6/2009 5:00,15.963625,13.640125
1/6/2009 6:00,15.873375,12.9725
1/6/2009 7:00,13.688375,10.6035
1/6/2009 8:00,10.831,9.54525
1/6/2009 9:00,5.207625,7.417
1/6/2009 10:00,5.793125,7.679375
1/6/2009 11:00,4.024125,6.83675
1/6/2009 12:00,2.533,5.9605
1/6/2009 13:00,3.091875,6.355625
1/6/2009 14:00,2.138625,5.677375
1/6/2009 15:00,2.004375,5.57675
1/6/2009 16:00,3.232875,6.443875
1/6/2009 17:00,11.151625,9.702125
1/6/2009 18:00,13.096625,10.378
1/6/2009 19:00,14.058125,10.815625
1/6/2009 20:00,14.66,11.157625
1/6/2009 21:00,14.109,10.8805
1/6/2009 22:00,11.001625,9.598
1/6/2009 23:00,9.608375,9.10925
1/7/2009 0:00,11.110625,9.61125
1/7/2009 1:00,8.074125,8.540125
1/7/2009 2:00,10.575625,9.40875
1/7/2009 3:00,8.40725,8.665625
1/7/2009 4:00,6.780125,8.048
1/7/2009 5:00,7.218,8.206875
1/7/2009 6:00,6.966625,8.10725
1/7/2009 7:00,6.4635,7.899625
1/7/2009 8:00,7.193875,8.180625
1/7/2009 9:00,5.3635,7.450125
1/7/2009 10:00,4.926625,7.254875
1/7/2009 11:00,4.57675,7.09375
1/7/2009 12:00,4.9975,7.304875
1/7/2009 13:00,5.14275,7.384125
1/7/2009 14:00,5.67075,7.618125
1/7/2009 15:00,6.403875,7.9195
1/7/2009 16:00,7.162375,8.219125
1/7/2009 17:00,8.874875,8.80975
1/7/2009 18:00,9.878625,9.1425
1/7/2009 19:00,7.906125,8.456125
1/7/2009 20:00,7.3075,8.20825
1/7/2009 21:00,9.050125,8.839625
1/7/2009 22:00,8.953875,8.8005
1/7/2009 23:00,7.43975,8.27725
1/8/2009 0:00,6.0715,7.7225
1/8/2009 1:00,5.547125,7.50325
1/8/2009 2:00,3.3265,6.384
1/8/2009 3:00,1.659,5.174875
1/8/2009 4:00,1.38775,4.91675
1/8/2009 5:00,1.871625,5.35475
1/8/2009 6:00,1.166,4.6765
1/8/2009 7:00,1.159125,4.6685
1/8/2009 8:00,1.198125,4.71225
1/8/2009 9:00,0.382,3.643875
1/8/2009 10:00,0.1,1.314125
1/8/2009 11:00,0.1,0.92775
1/8/2009 12:00,0.008125,2.193375
