Date,Power,Wind direction at 100m (deg),Wind speed at 100m (m/s),Air Temperature at 2m (k)
1/1/2009 0:00,15.99975,188.6765,15.719375,263.968125
1/1/2009 1:00,16,191.594875,16.2395,264.35425
1/1/2009 2:00,16,194.9795,16.44475,264.8285
1/1/2009 3:00,15.999875,197.70825,16.069125,265.201375
1/1/2009 4:00,15.998375,203.44575,15.38025,265.500625
1/1/2009 5:00,15.932125,207.485,13.677625,265.794625
1/1/2009 6:00,15.594125,207.693625,12.379625,265.924
1/1/2009 7:00,14.27475,215.372625,11.163,266.12575
1/1/2009 8:00,12.03975,218.306,10.029375,266.2745
1/1/2009 9:00,8.228875,231.5995,8.631375,266.466875
1/1/2009 10:00,5.157,253.258375,7.39525,268.05975
1/1/2009 11:00,3.981875,264.9575,6.839375,269.8805
1/1/2009 12:00,7.67625,295.3545,8.515125,272.982625
1/1/2009 13:00,11.087375,293.808125,9.70825,273.6865
1/1/2009 14:00,14.870375,286.955375,11.376625,274.075125
1/1/2009 15:00,15.49625,282.283125,11.90725,273.6825
1/1/2009 16:00,14.345125,271.66525,11.03125,272.07075
1/1/2009 17:00,15.459625,268.580375,11.961875,269.85075
1/1/2009 18:00,13.656625,269.424125,10.642,268.39075
1/1/2009 19:00,15.866125,266.47975,12.83675,268.664875
1/1/2009 20:00,15.991875,285.14425,15.34475,269.096
1/1/2009 21:00,14.76025,285.71625,11.286625,268.58025
1/1/2009 22:00,13.70975,315.532125,10.711375,267.040875
1/1/2009 23:00,10.568375,314.470125,9.432875,265.275875
1/2/2009 0:00,6.7785,323.161375,8.02,264.304
1/2/2009 1:00,7.67575,321.920125,8.36275,262.716125
1/2/2009 2:00,2.853125,315.89,6.0975,261.940375
1/2/2009 3:00,1.251375,332.076375,4.718375,261.50225
1/2/2009 4:00,0.76375,342.776,4.249125,261.15475
1/2/2009 5:00,0.617875,2.83275,4.04625,260.7225
1/2/2009 6:00,1.079625,25.485125,4.611125,260.58175
1/2/2009 7:00,0.307875,35.87625,3.52675,260.0905
1/2/2009 8:00,0.060625,68.523,2.8545,259.855125
1/2/2009 9:00,0.459375,69.0415,3.791375,259.77075
1/2/2009 10:00,0.692,76.20775,4.1645,260.441
1/2/2009 11:00,0.75075,86.027,4.248,261.5135
1/2/2009 12:00,1.4,89.523625,4.965375,262.7955
1/2/2009 13:00,2.229125,95.442,5.675875,263.943625
1/2/2009 14:00,2.779,102.285625,6.09175,264.769375
1/2/2009 15:00,4.411125,105.581625,7.035875,265.137
1/2/2009 16:00,5.50675,105.64725,7.561875,264.96875
1/2/2009 17:00,8.507625,104.036625,8.713,264.21775
1/2/2009 18:00,12.424375,108.294,10.05775,263.79775
1/2/2009 19:00,14.030625,113.3005,10.73625,263.531625
1/2/2009 20:00,14.934,115.892,11.282125,263.375125
1/2/2009 21:00,15.522125,117.43675,11.8505,263.306875
1/2/2009 22:00,15.766125,120.862,12.335,263.481375
1/2/2009 23:00,15.871375,123.370875,12.73175,263.714125
1/3/2009 0:00,15.822375,127.66,12.475,263.786625
1/3/2009 1:00,15.745125,130.14775,12.272875,263.854
1/3/2009 2:00,15.832,129.575,12.5395,263.986625
1/3/2009 3:00,15.87275,131.817625,12.704125,263.875125
1/3/2009 4:00,14.8795,133.63175,11.3035,264.5425
