Date,Power,Wind speed at 100m (m/s)
1/1/2009 0:00,15.99675,14.655125
1/1/2009 1:00,16,15.658875
1/1/2009 2:00,15.996875,14.645125
1/1/2009 3:00,16,16.331625
1/1/2009 4:00,15.998625,15.009125
1/1/2009 5:00,15.996125,14.61975
1/1/2009 6:00,15.992125,14.09675
1/1/2009 7:00,15.967125,13.670375
1/1/2009 8:00,16,17.174625
1/1/2009 9:00,16,16.9115
1/1/2009 10:00,16,18.562375
1/1/2009 11:00,16,16.5245
1/1/2009 12:00,15.997625,14.4625
1/1/2009 13:00,15.7165,12.17
1/1/2009 14:00,15.312875,11.554875
1/1/2009 15:00,14.366625,10.872125
1/1/2009 16:00,11.590125,9.721625
1/1/2009 17:00,14.13575,10.743875
1/1/2009 18:00,15.330625,11.570875
1/1/2009 19:00,15.814375,12.32975
1/1/2009 20:00,14.817125,11.116125
1/1/2009 21:00,11.425125,9.637875
1/1/2009 22:00,8.611125,8.68925
1/1/2009 23:00,3.269,6.363875
1/2/2009 0:00,0.6465,4.096375
1/2/2009 1:00,0.0325,2.495125
1/2/2009 2:00,0,1.5095
1/2/2009 3:00,0,1.404625
1/2/2009 4:00,0,1.541875
1/2/2009 5:00,0.045,2.652625
1/2/2009 6:00,0.13,3.1695
1/2/2009 7:00,0.304125,3.514625
1/2/2009 8:00,0.692875,4.1505
1/2/2009 9:00,1.185,4.7165
1/2/2009 10:00,1.8835,5.383125
1/2/2009 11:00,2.700125,6.0035
1/2/2009 12:00,3.454,6.48325
1/2/2009 13:00,4.62825,7.12075
1/2/2009 14:00,5.571375,7.557125
1/2/2009 15:00,9.345,8.9735
1/2/2009 16:00,14.075,10.709375
1/2/2009 17:00,15.191125,11.488625
1/2/2009 18:00,15.201125,11.532875
1/2/2009 19:00,15.89175,12.741875
1/2/2009 20:00,15.71075,12.157875
1/2/2009 21:00,15.2095,11.4585
1/2/2009 22:00,7.654125,8.391875
1/2/2009 23:00,7.042875,8.1575
1/3/2009 0:00,10.97125,9.513875
1/3/2009 1:00,9.762875,9.09225
1/3/2009 2:00,7.92075,8.447875
1/3/2009 3:00,4.27725,6.926875
1/3/2009 4:00,1.63575,5.19075
1/3/2009 5:00,0.42925,3.647875
1/3/2009 6:00,0,1.542875
1/3/2009 7:00,0.119375,3.15925
1/3/2009 8:00,1.608,5.173875
1/3/2009 9:00,2.465625,5.823625
1/3/2009 10:00,2.63875,5.95
1/3/2009 11:00,6.2235,7.797
1/3/2009 12:00,9.100875,8.848625
1/3/2009 13:00,10.26375,9.23
1/3/2009 14:00,13.07475,10.196375
1/3/2009 15:00,13.279875,10.26575
1/3/2009 16:00,11.387125,9.597375
1/3/2009 17:00,15.766875,12.261
1/3/2009 18:00,15.98325,13.619875
1/3/2009 19:00,15.905375,12.58075
1/3/2009 20:00,15.984875,13.567375
1/3/2009 21:00,15.967875,13.236375
1/3/2009 22:00,15.96725,13.23175
1/3/2009 23:00,15.920625,12.797
1/4/2009 0:00,15.90525,12.631
1/4/2009 1:00,15.82,12.389
1/4/2009 2:00,15.7755,12.19925
1/4/2009 3:00,15.4785,11.72425
1/4/2009 4:00,15.584875,11.762375
1/4/2009 5:00,15.730625,12.026375
1/4/2009 6:00,15.946875,12.878875
1/4/2009 7:00,15.957125,13.007625
1/4/2009 8:00,15.9375,12.87525
1/4/2009 9:00,15.9215,12.615625
1/4/2009 10:00,12.51525,9.91575
1/4/2009 11:00,10.425125,9.20625
1/4/2009 12:00,5.359,7.3275
1/4/2009 13:00,3.270625,6.30475
1/4/2009 14:00,3.31875,6.340375
1/4/2009 15:00,5.15325,7.2965
1/4/2009 16:00,9.855375,9.045
1/4/2009 17:00,14.958125,11.239375
1/4/2009 18:00,15.886375,12.673375
1/4/2009 19:00,15.9665,13.31275
1/4/2009 20:00,15.950625,13.068125
1/4/2009 21:00,15.506,11.7135
1/4/2009 22:00,13.229875,10.29475
1/4/2009 23:00,9.3875,8.959875
1/5/2009 0:00,6.90525,8.086125
1/5/2009 1:00,6.683125,8.005875
1/5/2009 2:00,6.10275,7.77825
1/5/2009 3:00,4.353375,6.987125
1/5/2009 4:00,3.869125,6.730625
1/5/2009 5:00,3.050375,6.240375
1/5/2009 6:00,2.52,5.904375
1/5/2009 7:00,3.860625,6.755
1/5/2009 8:00,6.370625,7.93925
1/5/2009 9:00,8.571,8.761125
1/5/2009 10:00,10.349375,9.39025
1/5/2009 11:00,10.39275,9.3985
1/5/2009 12:00,11.024125,9.630625
1/5/2009 13:00,7.38325,8.333
1/5/2009 14:00,3.961,6.800625
1/5/2009 15:00,2.622,6.005375
1/5/2009 16:00,3.864875,6.768625
1/5/2009 17:00,4.981125,7.2755
1/5/2009 18:00,3.30925,6.464875
1/5/2009 19:00,3.4255,6.50125
1/5/2009 20:00,6.683375,8.096375
1/5/2009 21:00,6.48575,8.019625
1/5/2009 22:00,2.424375,5.871125
1/5/2009 23:00,0.94925,4.5315
1/6/2009 0:00,0.22275,3.416125
1/6/2009 1:00,0.034,2.55575
1/6/2009 2:00,0.045625,2.704625
1/6/2009 3:00,0.047625,2.729
1/6/2009 4:00,0.060125,2.888125
1/6/2009 5:00,0.08225,3.0995
1/6/2009 6:00,0.213875,3.402
1/6/2009 7:00,0.406625,3.74325
1/6/2009 8:00,0.69825,4.197375
1/6/2009 9:00,1.4705,5.075375
1/6/2009 10:00,1.52175,5.111375
1/6/2009 11:00,1.4815,5.068375
1/6/2009 12:00,3.0945,6.31375
1/6/2009 13:00,3.88475,6.7535
1/6/2009 14:00,4.888,7.275625
1/6/2009 15:00,4.285875,6.969875
1/6/2009 16:00,6.05825,7.787
1/6/2009 17:00,11.124,9.605125
1/6/2009 18:00,15.73925,12.24275
1/6/2009 19:00,15.963625,13.32625
1/6/2009 20:00,15.9065,12.657125
1/6/2009 21:00,15.5835,11.87725
1/6/2009 22:00,15.232125,11.45275
1/6/2009 23:00,13.210875,10.29775
1/7/2009 0:00,12.8085,10.147125
1/7/2009 1:00,13.667625,10.47175
1/7/2009 2:00,13.46475,10.38075
1/7/2009 3:00,14.195125,10.74625
1/7/2009 4:00,15.178625,11.360125
1/7/2009 5:00,14.04425,10.642625
1/7/2009 6:00,14.022875,10.626875
1/7/2009 7:00,12.052375,9.854875
1/7/2009 8:00,11.1135,9.52175
1/7/2009 9:00,9,8.807375
1/7/2009 10:00,6.99025,8.093875
1/7/2009 11:00,4.201,6.855
1/7/2009 12:00,1.490375,5.032375
1/7/2009 13:00,1.205125,4.7325
1/7/2009 14:00,1.20375,4.734375
1/7/2009 15:00,1.184375,4.714875
1/7/2009 16:00,1.822375,5.32275
1/7/2009 17:00,4.20025,6.8705
1/7/2009 18:00,5.1495,7.352625
1/7/2009 19:00,7.53,8.31225
1/7/2009 20:00,7.27975,8.212875
1/7/2009 21:00,5.172375,7.3605
1/7/2009 22:00,4.112375,6.817875
1/7/2009 23:00,3.069,6.24425
1/8/2009 0:00,1.247125,4.77925
1/8/2009 1:00,0.467125,3.80025
1/8/2009 2:00,0.0745,3.022375
1/8/2009 3:00,0.05775,2.81325
1/8/2009 4:00,0.023375,2.384
1/8/2009 5:00,0.000625,1.9165
1/8/2009 6:00,0,1.274375
1/8/2009 7:00,0,1.4175
1/8/2009 8:00,0,0.283375
1/8/2009 9:00,0.002,2.029625
1/8/2009 10:00,0.440625,3.75675
1/8/2009 11:00,0.717625,4.208375
1/8/2009 12:00,0.34275,3.525625
1/8/2009 13:00,0.057625,2.82475
1/8/2009 14:00,0.254125,3.445125
1/8/2009 15:00,0.658625,4.135125
1/8/2009 16:00,0.819125,4.3495
1/8/2009 17:00,1.99925,5.5025
1/8/2009 18:00,3.058125,6.262125
1/8/2009 19:00,4.366,6.996875
1/8/2009 20:00,4.19875,6.906
1/8/2009 21:00,4.344875,6.9815
1/8/2009 22:00,6.358,7.886
1/8/2009 23:00,7.454625,8.312625
1/9/2009 0:00,7.213,8.21475
1/9/2009 1:00,7.598375,8.356
1/9/2009 2:00,8.29225,8.592625
1/9/2009 3:00,5.98475,7.69025
1/9/2009 4:00,5.624625,7.547625
1/9/2009 5:00,5.79675,7.61075
1/9/2009 6:00,6.62575,7.93725
1/9/2009 7:00,6.684,7.96775
1/9/2009 8:00,7.845875,8.394375
1/9/2009 9:00,6.679625,7.964875
1/9/2009 10:00,6.51525,7.892875
1/9/2009 11:00,5.105625,7.31
1/9/2009 12:00,4.043625,6.75275
1/9/2009 13:00,4.73675,7.11875
1/9/2009 14:00,4.5955,7.048
1/9/2009 15:00,5.07425,7.27775
1/9/2009 16:00,8.36225,8.582125
1/9/2009 17:00,15.021625,11.204625
1/9/2009 18:00,14.54075,10.914125
1/9/2009 19:00,13.538375,10.360125
1/9/2009 20:00,12.56,10.003
1/9/2009 21:00,10.402875,9.27
1/9/2009 22:00,9.8505,9.10525
1/9/2009 23:00,12.80075,10.147125
1/10/2009 0:00,14.5875,10.963625
1/10/2009 1:00,15.392875,11.6895
1/10/2009 2:00,15.867875,12.882625
1/10/2009 3:00,15.957625,13.621
1/10/2009 4:00,15.853375,12.9105
1/10/2009 5:00,15.8855,13.04325
1/10/2009 6:00,15.638625,12.387
1/10/2009 7:00,15.392375,12.06025
1/10/2009 8:00,15.49925,12.217375
1/10/2009 9:00,15.288125,11.83625
1/10/2009 10:00,14.776,11.455125
1/10/2009 11:00,13.659625,10.704625
1/10/2009 12:00,10.782,9.53325
1/10/2009 13:00,8.648875,8.814375
1/10/2009 14:00,8.072625,8.62725
1/10/2009 15:00,6.21725,7.9045
1/10/2009 16:00,10.1155,9.325875
1/10/2009 17:00,12.79725,10.3035
1/10/2009 18:00,12.833625,10.339
1/10/2009 19:00,15.408125,11.81475
1/10/2009 20:00,15.772625,12.4235
1/10/2009 21:00,15.520125,11.899
1/10/2009 22:00,14.86225,11.315625
1/10/2009 23:00,15.9695,13.5065
1/11/2009 0:00,15.723875,12.29125
1/11/2009 1:00,7.440875,8.36025
1/11/2009 2:00,6.55375,7.997125
1/11/2009 3:00,6.859875,8.109875
1/11/2009 4:00,7.2995,8.278125
1/11/2009 5:00,10.653625,9.436875
1/11/2009 6:00,8.88325,8.8265
1/11/2009 7:00,10.289875,9.312375
1/11/2009 8:00,9.409,9.026875
1/11/2009 9:00,6.62725,8.033
1/11/2009 10:00,3.89725,6.776625
1/11/2009 11:00,2.970875,6.25775
1/11/2009 12:00,2.387125,5.833125
1/11/2009 13:00,3.241,6.37275
1/11/2009 14:00,2.80525,6.113
1/11/2009 15:00,3.616,6.63725
1/11/2009 16:00,6.98375,8.192125
1/11/2009 17:00,9.522875,9.121
1/11/2009 18:00,9.74125,9.2035
1/11/2009 19:00,12.189875,10.0675
1/11/2009 20:00,9.273875,9.06
1/11/2009 21:00,6.057,7.8645
1/11/2009 22:00,3.6625,6.68625
1/11/2009 23:00,1.61325,5.231375
1/12/2009 0:00,3.2365,6.429
1/12/2009 1:00,7.623125,8.449375
1/12/2009 2:00,11.824625,9.900875
1/12/2009 3:00,15.585375,12.171875
1/12/2009 4:00,15.833625,13.107875
1/12/2009 5:00,15.9005,13.192625
1/12/2009 6:00,15.95275,13.581
1/12/2009 7:00,15.894125,12.7335
1/12/2009 8:00,15.99,13.872125
1/12/2009 9:00,15.690125,12.377625
1/12/2009 10:00,15.93975,12.89325
1/12/2009 11:00,14.81425,11.011
1/12/2009 12:00,10.2885,9.136125
1/12/2009 13:00,7.3885,8.148875
1/12/2009 14:00,6.4095,7.78375
1/12/2009 15:00,5.16875,7.28225
1/12/2009 16:00,11.909375,9.70475
1/12/2009 17:00,9.120875,8.762875
1/12/2009 18:00,8.105875,8.422
1/12/2009 19:00,6.6845,7.895125
1/12/2009 20:00,2.299125,5.635875
1/12/2009 21:00,0.494125,3.811125
1/12/2009 22:00,0.038125,2.544375
1/12/2009 23:00,0,0.761375
1/13/2009 0:00,0,1.038625
1/13/2009 1:00,0.000125,1.897375
1/13/2009 2:00,0.1795,3.270625
1/13/2009 3:00,1.753625,5.240625
1/13/2009 4:00,3.979125,6.690375
1/13/2009 5:00,5.456625,7.415875
1/13/2009 6:00,6.5395,7.863
1/13/2009 7:00,7.331375,8.17675
1/13/2009 8:00,9.883125,9.051375
1/13/2009 9:00,10.075125,9.126
1/13/2009 10:00,10.2135,9.176875
1/13/2009 11:00,8.620625,8.63525
1/13/2009 12:00,7.3145,8.1795
1/13/2009 13:00,4.850125,7.17875
1/13/2009 14:00,3.664875,6.558875
1/13/2009 15:00,4.1005,6.791875
1/13/2009 16:00,4.938125,7.218625
1/13/2009 17:00,7.015375,8.05375
1/13/2009 18:00,8.10325,8.423875
1/13/2009 19:00,7.7585,8.295375
1/13/2009 20:00,8.93275,8.69375
1/13/2009 21:00,10.964375,9.387
1/13/2009 22:00,13.674125,10.40175
1/13/2009 23:00,12.35575,9.846375
1/14/2009 0:00,13.301125,10.17825
1/14/2009 1:00,12.54275,9.892875
1/14/2009 2:00,11.999125,9.696375
1/14/2009 3:00,9.31975,8.780375
1/14/2009 4:00,8.636375,8.540625
1/14/2009 5:00,13.481875,10.22675
1/14/2009 6:00,15.567875,11.70125
1/14/2009 7:00,15.181625,11.227125
1/14/2009 8:00,14.44625,10.682125
1/14/2009 9:00,10.452875,9.12275
1/14/2009 10:00,13.991,10.439875
1/14/2009 11:00,14.142,10.5015
1/14/2009 12:00,11.4135,9.432375
1/14/2009 13:00,9.062375,8.658125
1/14/2009 14:00,7.247125,8.0405
1/14/2009 15:00,11.408875,9.45925
1/14/2009 16:00,11.676125,9.550375
1/14/2009 17:00,14.602625,10.783875
1/14/2009 18:00,13.71325,10.276
1/14/2009 19:00,11.580375,9.51975
