Date,Power,Wind direction at 100m (deg),Wind speed at 100m (m/s),Air Temperature at 2m (k)
1/1/2009 0:00,15.99675,216.433875,14.655125,265.91675
1/1/2009 1:00,16,243.002,15.658875,267.47725
1/1/2009 2:00,15.996875,253.097375,14.645125,268.182125
1/1/2009 3:00,16,267.388125,16.331625,268.408875
1/1/2009 4:00,15.998625,277.133375,15.009125,267.391125
1/1/2009 5:00,15.996125,278.55075,14.61975,266.454625
1/1/2009 6:00,15.992125,279.846,14.09675,265.98375
1/1/2009 7:00,15.967125,290.548,13.670375,264.8255
1/1/2009 8:00,16,296.716,17.174625,262.644625
1/1/2009 9:00,16,294.096875,16.9115,260.236
1/1/2009 10:00,16,296.70375,18.562375,259.292375
1/1/2009 11:00,16,295.60475,16.5245,258.644625
1/1/2009 12:00,15.997625,298.132125,14.4625,258.28675
1/1/2009 13:00,15.7165,299.691375,12.17,258.251
1/1/2009 14:00,15.312875,301.72075,11.554875,258.23225
1/1/2009 15:00,14.366625,301.898875,10.872125,257.962
1/1/2009 16:00,11.590125,301.56925,9.721625,257.20425
1/1/2009 17:00,14.13575,302.15025,10.743875,254.903625
1/1/2009 18:00,15.330625,306.11475,11.570875,255.311875
1/1/2009 19:00,15.814375,317.929625,12.32975,255.37425
1/1/2009 20:00,14.817125,328.12675,11.116125,254.865125
1/1/2009 21:00,11.425125,342.274125,9.637875,253.858875
1/1/2009 22:00,8.611125,352.943,8.68925,253.23475
1/1/2009 23:00,3.269,224.284375,6.363875,252.34825
1/2/2009 0:00,0.6465,352.10975,4.096375,252.296125
1/2/2009 1:00,0.0325,338.98575,2.495125,253.660125
1/2/2009 2:00,0,308.438,1.5095,253.854
1/2/2009 3:00,0,31.495125,1.404625,254.07375
1/2/2009 4:00,0,118.26925,1.541875,254.197625
1/2/2009 5:00,0.045,123.402375,2.652625,254.563125
1/2/2009 6:00,0.13,130.43475,3.1695,254.840125
1/2/2009 7:00,0.304125,137.786125,3.514625,255.369125
