Date,Power,Wind speed at 100m (m/s)
1/1/2009 0:00,16,17.686875
1/1/2009 1:00,16,17.175625
1/1/2009 2:00,15.999,16.2905
1/1/2009 3:00,15.986375,15.063
1/1/2009 4:00,15.903625,13.767625
1/1/2009 5:00,15.524375,12.6615
1/1/2009 6:00,14.8105,11.72
1/1/2009 7:00,14.798125,11.618125
1/1/2009 8:00,13.25175,10.745625
1/1/2009 9:00,13.36475,11.070625
1/1/2009 10:00,15.33625,12.188375
1/1/2009 11:00,15.825375,13.092875
1/1/2009 12:00,14.4195,11.27875
1/1/2009 13:00,14.94225,11.483
1/1/2009 14:00,15.124125,11.586125
1/1/2009 15:00,14.91,11.452625
1/1/2009 16:00,15.104,11.653625
1/1/2009 17:00,15.909875,13.15725
1/1/2009 18:00,15.9715,13.58675
1/1/2009 19:00,15.68125,12.9965
1/1/2009 20:00,14.84225,11.29775
1/1/2009 21:00,14.92625,11.308875
1/1/2009 22:00,11.1615,9.68725
1/1/2009 23:00,9.655375,9.091375
1/2/2009 0:00,6.62075,7.987875
1/2/2009 1:00,5.419125,7.48275
1/2/2009 2:00,2.701625,6.00775
1/2/2009 3:00,1.1835,4.723375
1/2/2009 4:00,0.690875,4.155375
1/2/2009 5:00,0.08325,3.033625
1/2/2009 6:00,0.178875,3.281
1/2/2009 7:00,0.5745,3.995
1/2/2009 8:00,0.65125,4.109875
1/2/2009 9:00,0.9405,4.452375
1/2/2009 10:00,1.0565,4.582625
1/2/2009 11:00,1.736625,5.27275
1/2/2009 12:00,2.5285,5.889625
1/2/2009 13:00,3.977125,6.786
1/2/2009 14:00,5.082,7.3575
1/2/2009 15:00,6.870125,8.115875
1/2/2009 16:00,8.34575,8.653125
1/2/2009 17:00,13.26625,10.4465
1/2/2009 18:00,14.679375,11.253625
1/2/2009 19:00,15.195375,11.67075
1/2/2009 20:00,15.513125,12.041375
1/2/2009 21:00,15.623375,12.2405
1/2/2009 22:00,15.847125,12.909
1/2/2009 23:00,15.910375,13.42125
1/3/2009 0:00,15.922625,13.46
1/3/2009 1:00,15.91125,13.367375
1/3/2009 2:00,15.724,12.543125
1/3/2009 3:00,15.550125,12.12625
1/3/2009 4:00,14.509875,11.089625
1/3/2009 5:00,10.497625,9.42025
1/3/2009 6:00,8.972375,8.900625
1/3/2009 7:00,9.434,9.06075
1/3/2009 8:00,6.679375,8.05475
1/3/2009 9:00,4.8535,7.279125
1/3/2009 10:00,1.926625,5.473625
1/3/2009 11:00,0.051,2.762625
1/3/2009 12:00,0.03325,2.539
1/3/2009 13:00,0.03075,2.505125
1/3/2009 14:00,0.707125,4.243875
1/3/2009 15:00,2.25575,5.720625
1/3/2009 16:00,7.18425,8.254125
1/3/2009 17:00,10.859375,9.516
1/3/2009 18:00,13.591875,10.496
1/3/2009 19:00,14.697875,11.096875
1/3/2009 20:00,15.498375,11.76925
1/3/2009 21:00,15.655,11.98925
1/3/2009 22:00,15.95575,13.126125
1/3/2009 23:00,15.72575,12.099625
1/4/2009 0:00,15.998625,14.5365
1/4/2009 1:00,15.3905,11.518625
1/4/2009 2:00,14.80625,11.044
1/4/2009 3:00,15.633,11.89825
1/4/2009 4:00,15.028625,11.45375
1/4/2009 5:00,14.50925,10.904875
1/4/2009 6:00,14.875875,11.24475
1/4/2009 7:00,12.595875,10.088375
1/4/2009 8:00,10.549,9.24475
1/4/2009 9:00,10.69075,9.298
1/4/2009 10:00,8.53825,8.511625
1/4/2009 11:00,7.8235,8.30125
1/4/2009 12:00,10.057375,9.12725
1/4/2009 13:00,11.063375,9.51925
1/4/2009 14:00,9.786875,9.057125
1/4/2009 15:00,9.092375,8.79475
1/4/2009 16:00,8.83725,8.702125
1/4/2009 17:00,12.30125,10.109875
1/4/2009 18:00,14.12325,11.235
1/4/2009 19:00,14.939875,12.233625
1/4/2009 20:00,14.711,11.749625
1/4/2009 21:00,13.75125,10.872375
1/4/2009 22:00,14.306375,11.156
1/4/2009 23:00,13.90375,10.822375
1/5/2009 0:00,14.594625,11.177625
1/5/2009 1:00,15.399375,12.0415
1/5/2009 2:00,15.39825,12.050875
1/5/2009 3:00,14.376625,11.113125
1/5/2009 4:00,15.308375,11.76425
1/5/2009 5:00,15.40625,11.904875
1/5/2009 6:00,15.658,12.707
1/5/2009 7:00,15.8935,13.35475
1/5/2009 8:00,15.916875,13.341875
1/5/2009 9:00,15.343125,11.7305
1/5/2009 10:00,7.3165,8.227
1/5/2009 11:00,9.259,8.96875
1/5/2009 12:00,7.635125,8.3765
1/5/2009 13:00,8.939625,8.911875
1/5/2009 14:00,9.827125,9.242625
1/5/2009 15:00,11.155125,9.708375
1/5/2009 16:00,14.255,10.969
1/5/2009 17:00,15.979,13.84775
1/5/2009 18:00,16,15.951375
1/5/2009 19:00,16,16.89275
1/5/2009 20:00,16,16.986
1/5/2009 21:00,16,16.595125
1/5/2009 22:00,16,16.858
1/5/2009 23:00,16,16.254
1/6/2009 0:00,15.998875,15.185875
1/6/2009 1:00,15.99875,15.377125
1/6/2009 2:00,15.9965,15.014375
1/6/2009 3:00,15.703875,13.086875
1/6/2009 4:00,14.639125,11.417875
1/6/2009 5:00,13.075375,10.452875
1/6/2009 6:00,9.571125,9.122875
1/6/2009 7:00,6.71075,8.03725
1/6/2009 8:00,6.812375,8.09775
1/6/2009 9:00,8.616875,8.7525
1/6/2009 10:00,8.781,8.793875
1/6/2009 11:00,6.005,7.562125
1/6/2009 12:00,3.182125,6.341875
1/6/2009 13:00,3.0655,6.279875
1/6/2009 14:00,2.7815,6.126
1/6/2009 15:00,2.87375,6.208625
1/6/2009 16:00,5.133,7.45275
1/6/2009 17:00,13.18575,10.4225
1/6/2009 18:00,15.174625,11.5835
1/6/2009 19:00,15.439875,11.854375
1/6/2009 20:00,15.24075,11.601625
1/6/2009 21:00,12.967875,10.299625
1/6/2009 22:00,13.353,10.45075
1/6/2009 23:00,15.608375,12.014625
