Date,Power,Wind speed at 100m (m/s)
1/1/2009 0:00,14.8394,12.713
1/1/2009 1:00,15.9908,14.715
1/1/2009 2:00,16,16.9434
1/1/2009 3:00,16,19.0424
1/1/2009 4:00,16,20.1564
1/1/2009 5:00,16,21.0322
1/1/2009 6:00,16,21.0654
1/1/2009 7:00,16,21.1004
1/1/2009 8:00,16,21.2142
1/1/2009 9:00,16,20.7504
1/1/2009 10:00,16,20.599
1/1/2009 11:00,16,19.9816
1/1/2009 12:00,16,19.4304
1/1/2009 13:00,16,19.2652
1/1/2009 14:00,16,18.3258
1/1/2009 15:00,16,18.1824
1/1/2009 16:00,16,18.0548
1/1/2009 17:00,16,18.7876
1/1/2009 18:00,16,19.0118
1/1/2009 19:00,16,19.8104
1/1/2009 20:00,16,20.5408
1/1/2009 21:00,16,21.6162
1/1/2009 22:00,16,22.5766
1/1/2009 23:00,16,25.1016
1/2/2009 0:00,0,25.7006
1/2/2009 1:00,0,23.706
1/2/2009 2:00,0,23.1252
1/2/2009 3:00,11.4164,10.8616
1/2/2009 4:00,7.1782,9.1484
1/2/2009 5:00,4.027,7.5686
1/2/2009 6:00,1.3616,5.4056
1/2/2009 7:00,8.569,9.6972
1/2/2009 8:00,4.8614,8.0264
1/2/2009 9:00,13.7078,11.943
1/2/2009 10:00,9.9954,10.239
1/2/2009 11:00,2.7952,6.5494
1/2/2009 12:00,4.138,7.6074
1/2/2009 13:00,3.381,7.135
1/2/2009 14:00,2.2042,6.2594
1/2/2009 15:00,1.6222,5.679
1/2/2009 16:00,3.521,7.189
1/2/2009 17:00,2.677,6.6136
1/2/2009 18:00,1.7514,5.7336
1/2/2009 19:00,0.66,4.2872
1/2/2009 20:00,1.027,4.8874
1/2/2009 21:00,0.0362,2.93
1/2/2009 22:00,0.3724,3.937
1/2/2009 23:00,0,2.1974
1/3/2009 0:00,0,1.5008
1/3/2009 1:00,0,1.4942
1/3/2009 2:00,0,0.624
1/3/2009 3:00,0,1.3436
1/3/2009 4:00,0,2.7834
1/3/2009 5:00,0.0856,3.3194
1/3/2009 6:00,0.1108,3.3082
1/3/2009 7:00,0.075,3.1752
1/3/2009 8:00,0,2.386
1/3/2009 9:00,0,2.015
1/3/2009 10:00,0,1.4902
1/3/2009 11:00,0,1.5552
1/3/2009 12:00,0.0466,3.1246
1/3/2009 13:00,0.5906,4.3684
1/3/2009 14:00,1.1156,5.1114
1/3/2009 15:00,1.4562,5.494
1/3/2009 16:00,2.581,6.5372
1/3/2009 17:00,3.5696,7.2374
1/3/2009 18:00,4.8972,7.9636
1/3/2009 19:00,6.834,8.9058
1/3/2009 20:00,6.0158,8.5428
1/3/2009 21:00,2.7682,6.6548
1/3/2009 22:00,1.186,5.1046
1/3/2009 23:00,1.2158,5.0812
1/4/2009 0:00,0.7046,4.1432
1/4/2009 1:00,0.7926,4.1536
1/4/2009 2:00,0,2.0882
1/4/2009 3:00,0.0438,2.296
1/4/2009 4:00,0.0538,2.1774
1/4/2009 5:00,0,1.4582
1/4/2009 6:00,0,1.648
1/4/2009 7:00,0.2132,3.5318
1/4/2009 8:00,3.1054,6.894
1/4/2009 9:00,6.0382,8.5328
1/4/2009 10:00,7.6716,9.2972
1/4/2009 11:00,11.007,10.6204
1/4/2009 12:00,13.8296,11.9932
1/4/2009 13:00,15.4486,13.3428
1/4/2009 14:00,16,15.0908
1/4/2009 15:00,16,16.9342
1/4/2009 16:00,16,19.6198
1/4/2009 17:00,16,21.949
1/4/2009 18:00,16,23.7288
1/4/2009 19:00,16,25.0478
1/4/2009 20:00,16,24.9388
1/4/2009 21:00,16,25.0304
1/4/2009 22:00,16,25.0058
1/4/2009 23:00,16,24.4944
1/5/2009 0:00,16,23.492
1/5/2009 1:00,16,22.0492
1/5/2009 2:00,16,20.5678
1/5/2009 3:00,16,19.7042
1/5/2009 4:00,16,16.4198
1/5/2009 5:00,14.4364,12.4486
1/5/2009 6:00,6.52,8.8538
1/5/2009 7:00,6.3012,8.7438
1/5/2009 8:00,3.3086,6.9852
1/5/2009 9:00,3.1046,6.9608
1/5/2009 10:00,3.211,7.034
1/5/2009 11:00,2.918,6.8144
1/5/2009 12:00,1.9726,6.0442
1/5/2009 13:00,2.5746,6.5634
1/5/2009 14:00,2.7246,6.6728
1/5/2009 15:00,2.927,6.8174
1/5/2009 16:00,1.8952,5.9384
1/5/2009 17:00,1.5252,5.4634
1/5/2009 18:00,1.6748,5.6906
1/5/2009 19:00,1.7742,5.815
1/5/2009 20:00,3.044,6.8972
1/5/2009 21:00,5.2332,8.2096
1/5/2009 22:00,5.1716,8.1698
1/5/2009 23:00,7.9122,9.4212
1/6/2009 0:00,9.8498,10.1734
1/6/2009 1:00,11.594,10.8884
1/6/2009 2:00,14.1954,12.2384
1/6/2009 3:00,15.2642,13.162
1/6/2009 4:00,15.6836,13.6822
1/6/2009 5:00,15.8008,13.9988
1/6/2009 6:00,15.2214,13.117
1/6/2009 7:00,15.013,12.8974
1/6/2009 8:00,14.7442,12.6538
1/6/2009 9:00,13.1468,11.618
1/6/2009 10:00,8.6346,9.693
1/6/2009 11:00,4.633,7.8762
1/6/2009 12:00,4.3388,7.6438
1/6/2009 13:00,3.6338,7.1484
1/6/2009 14:00,3.734,7.2596
1/6/2009 15:00,2.827,6.5834
1/6/2009 16:00,2.8806,6.7748
1/6/2009 17:00,4.8872,8.0178
1/6/2009 18:00,6.9716,9.0158
1/6/2009 19:00,6.5674,8.8334
1/6/2009 20:00,8.126,9.5048
1/6/2009 21:00,9.547,10.0586
1/6/2009 22:00,10.6302,10.484
1/6/2009 23:00,12.1698,11.1258
1/7/2009 0:00,13.6956,11.9134
1/7/2009 1:00,14.5076,12.4346
1/7/2009 2:00,15.3664,13.2608
1/7/2009 3:00,14.7924,12.6768
1/7/2009 4:00,15.6074,13.5538
1/7/2009 5:00,15.9854,14.8052
1/7/2009 6:00,15.9788,15.1362
1/7/2009 7:00,16,15.511
1/7/2009 8:00,15.9872,14.8588
1/7/2009 9:00,16,15.6884
1/7/2009 10:00,16,15.4694
1/7/2009 11:00,16,16.0022
1/7/2009 12:00,16,17.0028
1/7/2009 13:00,16,17.003
1/7/2009 14:00,16,16.7638
1/7/2009 15:00,16,17.3334
1/7/2009 16:00,16,17.3584
1/7/2009 17:00,16,17.5092
1/7/2009 18:00,16,17.5972
1/7/2009 19:00,16,18.6854
1/7/2009 20:00,16,20.356
1/7/2009 21:00,16,21.3156
1/7/2009 22:00,16,22.4086
1/7/2009 23:00,16,22.8366
1/8/2009 0:00,16,22.1564
1/8/2009 1:00,16,20.7374
1/8/2009 2:00,16,19.2096
1/8/2009 3:00,16,17.3594
1/8/2009 4:00,11.7422,11.3246
1/8/2009 5:00,1.8582,5.9164
1/8/2009 6:00,4.4808,7.7986
1/8/2009 7:00,4.0758,7.5808
1/8/2009 8:00,0.6794,4.4998
1/8/2009 9:00,1.172,5.1138
1/8/2009 10:00,2.1306,6.185
1/8/2009 11:00,2.9454,6.8146
1/8/2009 12:00,4.1732,7.614
1/8/2009 13:00,3.716,7.3438
1/8/2009 14:00,3.5274,7.0614
1/8/2009 15:00,4.1772,7.5722
1/8/2009 16:00,4.3566,7.7114
1/8/2009 17:00,5.3776,8.2658
1/8/2009 18:00,6.6674,8.8392
1/8/2009 19:00,9.953,10.1846
1/8/2009 20:00,9.513,10.0114
1/8/2009 21:00,5.7248,8.3964
1/8/2009 22:00,5.6656,8.3426
1/8/2009 23:00,6.2724,8.6438
1/9/2009 0:00,8.6808,9.6714
1/9/2009 1:00,10.9862,10.5596
1/9/2009 2:00,9.637,10.0234
1/9/2009 3:00,9.8032,10.0914
1/9/2009 4:00,9.9464,10.1544
1/9/2009 5:00,10.8312,10.4882
1/9/2009 6:00,11.0726,10.5962
1/9/2009 7:00,11.5082,10.7734
1/9/2009 8:00,10.9598,10.546
1/9/2009 9:00,10.2914,10.2768
1/9/2009 10:00,10.6946,10.448
1/9/2009 11:00,10.228,10.2632
1/9/2009 12:00,11.0036,10.5888
1/9/2009 13:00,13.0584,11.5444
1/9/2009 14:00,14.4308,12.4022
1/9/2009 15:00,14.6422,12.5766
1/9/2009 16:00,14.466,12.4088
1/9/2009 17:00,14.5634,12.4648
1/9/2009 18:00,12.81,11.4014
1/9/2009 19:00,7.5136,9.2422
1/9/2009 20:00,5.4928,8.2472
1/9/2009 21:00,4.245,7.552
1/9/2009 22:00,3.48,7.1016
1/9/2009 23:00,1.9632,5.9126
1/10/2009 0:00,1.1924,4.9288
1/10/2009 1:00,1.0174,4.7178
1/10/2009 2:00,0.5714,4.1392
1/10/2009 3:00,0.3628,3.7366
1/10/2009 4:00,0.1748,3.2588
1/10/2009 5:00,0.131,3.1854
1/10/2009 6:00,0.2492,3.5876
1/10/2009 7:00,0.0976,3.049
1/10/2009 8:00,0.1066,3.0244
1/10/2009 9:00,0.959,4.783
1/10/2009 10:00,2.1114,6.0458
1/10/2009 11:00,2.5322,6.4406
1/10/2009 12:00,2.0516,6.0662
1/10/2009 13:00,2.912,6.783
1/10/2009 14:00,1.346,5.3816
1/10/2009 15:00,1.7108,5.7718
1/10/2009 16:00,0.7626,4.628
1/10/2009 17:00,0.976,4.9302
1/10/2009 18:00,1.6362,5.687
1/10/2009 19:00,1.2282,5.262
1/10/2009 20:00,1.6424,5.688
1/10/2009 21:00,1.0172,4.9784
1/10/2009 22:00,1.1072,5.1052
1/10/2009 23:00,0.9706,4.912
1/11/2009 0:00,1.013,4.971
1/11/2009 1:00,2.4658,6.4404
1/11/2009 2:00,2.5882,6.5328
1/11/2009 3:00,0.9702,4.911
1/11/2009 4:00,3.8222,7.3996
1/11/2009 5:00,4.3658,7.7048
