Date,Power,Wind direction at 100m (deg),Wind speed at 100m (m/s),Air Temperature at 2m (k)
1/1/2009 0:00,14.8394,191.818,12.713,282.0702
1/1/2009 1:00,15.9908,190.5698,14.715,282.0474
1/1/2009 2:00,16,190.7046,16.9434,282.0554
1/1/2009 3:00,16,188.3482,19.0424,281.9866
1/1/2009 4:00,16,187.3484,20.1564,281.9762
1/1/2009 5:00,16,185.1916,21.0322,281.915
1/1/2009 6:00,16,184.3524,21.0654,281.9248
1/1/2009 7:00,16,184.1414,21.1004,281.9402
1/1/2009 8:00,16,182.5354,21.2142,281.931
1/1/2009 9:00,16,183.88,20.7504,282.0252
1/1/2009 10:00,16,183.0572,20.599,282.0958
1/1/2009 11:00,16,183.1702,19.9816,282.185
1/1/2009 12:00,16,183.4758,19.4304,282.318
1/1/2009 13:00,16,184.7294,19.2652,282.434
1/1/2009 14:00,16,185.7114,18.3258,282.4846
1/1/2009 15:00,16,186.5312,18.1824,282.694
1/1/2009 16:00,16,188.0408,18.0548,282.9442
1/1/2009 17:00,16,193.2382,18.7876,283.275
1/1/2009 18:00,16,196.4366,19.0118,283.46
1/1/2009 19:00,16,197.211,19.8104,283.4716
1/1/2009 20:00,16,193.9128,20.5408,283.5532
1/1/2009 21:00,16,188.5844,21.6162,283.5644
1/1/2009 22:00,16,188.3812,22.5766,283.532
1/1/2009 23:00,16,189.7866,25.1016,283.5596
1/2/2009 0:00,0,192.8722,25.7006,283.7312
1/2/2009 1:00,0,198.0596,23.706,283.8532
1/2/2009 2:00,0,223.6656,23.1252,284.1248
1/2/2009 3:00,11.4164,326.7684,10.8616,281.9888
1/2/2009 4:00,7.1782,336.088,9.1484,281.9366
1/2/2009 5:00,4.027,330.0448,7.5686,281.6554
1/2/2009 6:00,1.3616,332.596,5.4056,281.6746
1/2/2009 7:00,8.569,332.7584,9.6972,281.7266
1/2/2009 8:00,4.8614,347.1474,8.0264,281.7394
1/2/2009 9:00,13.7078,342.089,11.943,281.3732
1/2/2009 10:00,9.9954,346.2946,10.239,281.2632
1/2/2009 11:00,2.7952,275.5042,6.5494,280.5826
1/2/2009 12:00,4.138,341.6108,7.6074,281.2468
1/2/2009 13:00,3.381,345.858,7.135,281.0566
1/2/2009 14:00,2.2042,334.6766,6.2594,281.0802
1/2/2009 15:00,1.6222,319.675,5.679,280.8774
1/2/2009 16:00,3.521,146.761,7.189,279.879
1/2/2009 17:00,2.677,348.195,6.6136,280.0468
1/2/2009 18:00,1.7514,31.4254,5.7336,279.0066
1/2/2009 19:00,0.66,212.8746,4.2872,279.8532
1/2/2009 20:00,1.027,45.6176,4.8874,278.674
1/2/2009 21:00,0.0362,93.5232,2.93,278.948
1/2/2009 22:00,0.3724,67.8116,3.937,278.1826
1/2/2009 23:00,0,77.4682,2.1974,278.4274
1/3/2009 0:00,0,90.9532,1.5008,278.63
1/3/2009 1:00,0,345.714,1.4942,279.1218
1/3/2009 2:00,0,162.8188,0.624,278.844
1/3/2009 3:00,0,150.97,1.3436,278.584
1/3/2009 4:00,0,124.6302,2.7834,278.4914
1/3/2009 5:00,0.0856,123.056,3.3194,278.5262
1/3/2009 6:00,0.1108,115.097,3.3082,278.5896
1/3/2009 7:00,0.075,106.6082,3.1752,278.7088
1/3/2009 8:00,0,109.3968,2.386,278.855
1/3/2009 9:00,0,117.1868,2.015,279.0814
1/3/2009 10:00,0,99.0158,1.4902,279.766
1/3/2009 11:00,0,15.3626,1.5552,280.117
1/3/2009 12:00,0.0466,149.6676,3.1246,280.4278
1/3/2009 13:00,0.5906,143.2354,4.3684,280.5484
1/3/2009 14:00,1.1156,285.4868,5.1114,280.601
1/3/2009 15:00,1.4562,1.5772,5.494,280.6342
1/3/2009 16:00,2.581,10.5884,6.5372,280.6926
1/3/2009 17:00,3.5696,18.256,7.2374,280.231
1/3/2009 18:00,4.8972,28.7328,7.9636,279.2094
1/3/2009 19:00,6.834,31.55,8.9058,278.8736
1/3/2009 20:00,6.0158,31.2902,8.5428,278.826
1/3/2009 21:00,2.7682,34.5882,6.6548,278.885
1/3/2009 22:00,1.186,43.161,5.1046,278.6568
1/3/2009 23:00,1.2158,49.6658,5.0812,278.3736
1/4/2009 0:00,0.7046,56.6852,4.1432,278.2608
1/4/2009 1:00,0.7926,52.0908,4.1536,278.6362
1/4/2009 2:00,0,69.5594,2.0882,279.0152
1/4/2009 3:00,0.0438,50.1618,2.296,279.5968
1/4/2009 4:00,0.0538,58.866,2.1774,279.5766
1/4/2009 5:00,0,96.6084,1.4582,279.4474
1/4/2009 6:00,0,146.8612,1.648,279.83
1/4/2009 7:00,0.2132,190.612,3.5318,280.7016
1/4/2009 8:00,3.1054,186.8306,6.894,281.1662
1/4/2009 9:00,6.0382,181.0894,8.5328,281.2576
1/4/2009 10:00,7.6716,194.4564,9.2972,281.298
1/4/2009 11:00,11.007,189.7742,10.6204,281.1834
1/4/2009 12:00,13.8296,187.609,11.9932,281.2322
1/4/2009 13:00,15.4486,186.4884,13.3428,281.2694
1/4/2009 14:00,16,185.9236,15.0908,281.3768
1/4/2009 15:00,16,182.5846,16.9342,281.334
1/4/2009 16:00,16,179.2164,19.6198,281.034
1/4/2009 17:00,16,179.6362,21.949,280.7146
1/4/2009 18:00,16,180.3698,23.7288,280.4844
1/4/2009 19:00,16,180.9574,25.0478,280.4214
1/4/2009 20:00,16,181.2574,24.9388,280.37
1/4/2009 21:00,16,182.0014,25.0304,280.3866
1/4/2009 22:00,16,182.0168,25.0058,280.1288
1/4/2009 23:00,16,182.5376,24.4944,280.3622
1/5/2009 0:00,16,184.8832,23.492,280.811
1/5/2009 1:00,16,186.1496,22.0492,280.987
1/5/2009 2:00,16,184.8126,20.5678,281.235
1/5/2009 3:00,16,185.0082,19.7042,281.4928
1/5/2009 4:00,16,191.288,16.4198,281.771
1/5/2009 5:00,14.4364,206.9122,12.4486,282.3802
1/5/2009 6:00,6.52,246.4782,8.8538,283.0792
1/5/2009 7:00,6.3012,264.3516,8.7438,283.0912
1/5/2009 8:00,3.3086,252.0666,6.9852,282.8638
1/5/2009 9:00,3.1046,278.9418,6.9608,282.6762
1/5/2009 10:00,3.211,261.525,7.034,282.5792
1/5/2009 11:00,2.918,281.2288,6.8144,282.4992
1/5/2009 12:00,1.9726,278.462,6.0442,282.7154
1/5/2009 13:00,2.5746,269.177,6.5634,282.7868
1/5/2009 14:00,2.7246,274.0582,6.6728,282.7002
1/5/2009 15:00,2.927,259.7812,6.8174,282.5366
1/5/2009 16:00,1.8952,254.4524,5.9384,282.4944
1/5/2009 17:00,1.5252,253.1814,5.4634,282.8032
1/5/2009 18:00,1.6748,241.3418,5.6906,282.7738
1/5/2009 19:00,1.7742,204.0342,5.815,282.6398
1/5/2009 20:00,3.044,197.0146,6.8972,282.5858
1/5/2009 21:00,5.2332,197.9144,8.2096,282.416
1/5/2009 22:00,5.1716,205.5816,8.1698,282.494
1/5/2009 23:00,7.9122,193.8228,9.4212,282.4878
1/6/2009 0:00,9.8498,190.2322,10.1734,282.426
1/6/2009 1:00,11.594,194.97,10.8884,282.4796
1/6/2009 2:00,14.1954,187.6122,12.2384,282.3496
1/6/2009 3:00,15.2642,185.9608,13.162,282.4094
1/6/2009 4:00,15.6836,184.8438,13.6822,282.407
1/6/2009 5:00,15.8008,185.9092,13.9988,282.4882
1/6/2009 6:00,15.2214,188.9536,13.117,282.511
1/6/2009 7:00,15.013,190.9574,12.8974,282.5396
1/6/2009 8:00,14.7442,190.94,12.6538,282.559
1/6/2009 9:00,13.1468,194.5624,11.618,282.5958
1/6/2009 10:00,8.6346,202.9296,9.693,282.628
1/6/2009 11:00,4.633,211.3114,7.8762,282.8694
1/6/2009 12:00,4.3388,236.9754,7.6438,283.0528
1/6/2009 13:00,3.6338,239.698,7.1484,283.0114
1/6/2009 14:00,3.734,244.1164,7.2596,282.984
1/6/2009 15:00,2.827,237.7468,6.5834,282.97
1/6/2009 16:00,2.8806,212.0464,6.7748,282.9132
1/6/2009 17:00,4.8872,221.6588,8.0178,282.941
1/6/2009 18:00,6.9716,226.2814,9.0158,282.9742
1/6/2009 19:00,6.5674,209.0918,8.8334,282.9026
1/6/2009 20:00,8.126,196.2546,9.5048,282.8076
1/6/2009 21:00,9.547,210.7012,10.0586,283.0596
1/6/2009 22:00,10.6302,203.329,10.484,283.1218
1/6/2009 23:00,12.1698,193.363,11.1258,282.76
1/7/2009 0:00,13.6956,189.6954,11.9134,282.6658
1/7/2009 1:00,14.5076,191.0376,12.4346,282.6578
1/7/2009 2:00,15.3664,186.7806,13.2608,282.6154
1/7/2009 3:00,14.7924,187.6836,12.6768,282.6768
1/7/2009 4:00,15.6074,183.3656,13.5538,282.6642
1/7/2009 5:00,15.9854,177.2948,14.8052,282.6752
1/7/2009 6:00,15.9788,175.6928,15.1362,282.9344
1/7/2009 7:00,16,178.8558,15.511,282.8002
1/7/2009 8:00,15.9872,181.4858,14.8588,282.785
1/7/2009 9:00,16,183.333,15.6884,282.9552
1/7/2009 10:00,16,183.4008,15.4694,283.053
1/7/2009 11:00,16,186.0058,16.0022,283.0034
1/7/2009 12:00,16,183.9196,17.0028,282.9314
1/7/2009 13:00,16,182.5924,17.003,282.6788
1/7/2009 14:00,16,184.2162,16.7638,282.5724
1/7/2009 15:00,16,183.4988,17.3334,282.5024
1/7/2009 16:00,16,184.1294,17.3584,282.62
1/7/2009 17:00,16,184.0374,17.5092,282.6554
1/7/2009 18:00,16,184.2712,17.5972,282.7082
1/7/2009 19:00,16,185.3522,18.6854,282.7678
1/7/2009 20:00,16,184.4534,20.356,282.9534
1/7/2009 21:00,16,181.564,21.3156,283.1264
1/7/2009 22:00,16,180.6786,22.4086,283.1492
1/7/2009 23:00,16,181.0046,22.8366,283.1578
1/8/2009 0:00,16,187.2662,22.1564,283.0132
